Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Latvia;10.44612;9.22423;7.69832;6.14485;7.18832;7.21969;6.98266;6.78163;6.93857;7.12941;7.1356;7.03145;6.05742;5.53708;5.33699;6.37803;6.33613;5.10429;4.4056;3.78255;3.2783;3.0002;2.51743;2.15729;1.99037;1.81166;1.54734;1.06504;1.01178;0.83582;0.66541;0.59708;0.08906;0.03561;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lithuania;18.5894;18.87306;16.7084;15.69874;15.69337;15.18603;14.21609;12.97142;13.0151;13.75286;13.50122;12.89123;12.08726;10.20567;8.58655;10.65368;9.8058;7.84355;7.07187;6.07178;5.50568;4.83823;4.384;3.61067;2.69099;2.93276;2.87818;2.50284;1.96134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luxembourg;25.74174;24.91814;23.68937;18.8545;17.9539;17.7414;17.9397;18.4497;17.8782;15.9425;14.9813;14.2825;13.4461;13.5716;11.4279;12.809;11.7953;10.2761;8.1135;7.3946;6.6831;6.1028;6.0839;6.352;5.707;4.7904;4.7144;4.2407;3.8475;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hungary;15665.7;14361.34;13935.27;11644.38;11507.08;10558.44;9703.97;8997.67;9090.74;8299.05;7326.82;6682.86;6747.59;6385.92;6078.83;6240.93;5910.51;5783.18;4908.15;4593.39;4005.4;3884.78;3021.57;2472.07;2274.96;2070.66;1612.88;1067.08;820.37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malta;-;-;-;4.91374;5.3265;4.90647;4.58126;3.84298;3.71759;3.01311;2.60634;2.3377;2.10493;2.20852;1.88668;1.98239;1.76755;1.57274;1.51474;1.39592;1.30628;1.22359;1.11906;1.20062;1.0264;0.98955;0.88754;0.80034;0.74019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Netherlands;256.1794;247.1191;228.777;210.895;211.81;204.303;199.215;191.596;193.396;181.412;183.558;183.023;180.468;180.663;167.748;177.501;171.794;162.625;150.237;138.886;130.492;129.919;126.643;112.808;105.203;102.579;95.624;87.128;82.66;69.242;62.569;61.208;61.414;58.8;56.827;51.58;48.212;49.502;49.337;48.584;42.569;39.676;38.39;33.972;29.924;27.863;25.551;24.631;20.037;21.69;15.385;14.7;11.158;11.705;11.012;-;-;-;-;-;-;-;-;-
Austria;109.1632;102.8726;98.5986;93.7674;94.7541;94.1699;89.7487;87.6493;83.3297;80.1319;77.0317;77.8302;78.3396;73.9566;71.8023;78.7965;79.2361;73.21;67.2866;63.1416;58.3152;56.2902;54.141;51.5605;46.758;45.4475;42.7434;38.9116;36.742;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Poland;814.4382;724.9548;622.9214;586.211;549.414;488.771;470.738;456.074;460.078;426.696;406.751;394.482;381.577;344.553;329.778;279.522;269.291;243.045;220.514;203.433;159.156;136.278;119.199;130.117;108.531;93.305;83.056;64.64;55.351;34.035;24.3273;19.2961;18.4651;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Portugal;49.89821;45.16313;40.49034;37.86105;45.25013;44.00618;43.73368;42.16591;40.2549;37.83415;36.80522;35.77816;37.04423;37.19002;36.65453;36.7022;36.84008;32.52143;29.85394;29.91766;28.9411;27.84176;26.89328;25.42547;23.88192;21.88247;20.39665;18.14608;17.77169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Romania;512.0732;462.5442;375.4013;310.9479;314.9811;281.4193;261.1797;235.6319;225.0659;213.8472;196.7703;187.7676;163.5626;151.3114;192.6369;175.1804;136.9469;87.1385;67.9748;61.0314;49.5047;35.9792;22.5467;19.3236;15.2018;9.6131;7.5806;3.2065;2.0331;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovenia;13.61454;12.57902;11.62385;9.79191;9.59795;9.17248;8.6761;7.83067;7.63814;7.37801;6.88067;6.65472;6.9472;6.65537;6.76419;7.67916;7.11267;6.00893;5.15079;5.01174;4.66987;3.95037;3.53893;3.06035;2.94492;2.44362;2.12262;1.64923;1.35368;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovakia;29.65269;26.06516;24.74516;22.83621;24.18809;23.79276;23.7476;23.99304;25.30809;23.8672;23.34024;23.633;22.41676;21.16847;17.95928;21.21769;20.02477;17.81975;15.09197;14.05411;11.54768;10.21216;9.47798;8.43061;7.65557;6.66936;6.03685;5.11944;4.88365;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Finland;73.2132;70.0706;66.071;59.906;58.956;58.02;57.571;51.033;48.933;46.657;45.363;45.058;47.352;46.219;42.81;53.567;53.56;46.927;44.708;44.324;41.37;41.534;41.613;38.269;34.402;33.129;29.125;26.008;25.726;21.928;18.667;15.652;14.65;18.496;18.669;16.661;14.586;13.048;12.317;11.799;10.463;9.208;8.126;7.506;6.752;5.386;4.259;3.834;3.52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sweden;1583.208;1471.322;1332.085;1224.24;1234.489;1136.094;1120.543;1069.603;1092.696;966.73;893.821;889.581;947.761;911.911;783.34;831.87;840.392;818.209;734.533;711.296;644.08;605.051;586.356;601.882;574.967;546.485;528.718;497.378;529.624;467.103;412.001;363.264;341.311;328.304;318.155;297.657;260.56;245.509;225.88;210.679;177.142;148.076;121.404;113.415;95.27;77.693;65.089;71.106;72.692;64.845;52.938;41.905;34.705;35.062;30.516;27.247;27.151;24.243;23.528;21.967;19.235;17.552;16.992;15.803
