Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Operating surplus, Gross (UOGD);National currency:;Croatia;Mrd EURO-HRK;;27.20004;26.36719;24.28635;21.61078;18.59098;20.39745;18.90786;18.62973;17.77856;17.0744;16.63505;16.86009;16.76167;17.39838;16.57716;16.25977;17.4563;16.22435;14.73186;13.25959;12.06092;10.69327;9.65438;8.98801;7.6871;7.24855;7.40028;7.17387;6.40321;5.92169;4.20375;1.84491;0.13866;0.01386;0.01085;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Italy;Mrd EURO-ITL;;945.0842;912.7806;904.4157;827.9941;788.7271;847.6447;840.0064;830.9008;818.2226;784.8538;774.5942;767.274;763.3877;792.5086;770.3648;757.3025;797.4671;785.8384;753.8665;736.2324;728.5588;700.1753;678.2048;661.6712;625.3474;582.7087;563.7826;553.6027;538.7512;511.0228;462.1414;424.8974;413.3316;393.1732;364.7585;339.138;308.334;279.3505;256.8805;227.7494;201.9426;172.1865;147.9411;124.7668;104.9551;83.3768;66.5315;55.3036;46.2142;36.3842;31.9974;24.7312;20.2282;18.5458;17.8185;16.5078;14.8009;13.5367;12.4794;11.3224;10.3271;9.5845;8.8648;8.0952;7.3155
Operating surplus, Gross (UOGD);National currency:;Cyprus;Mrd EURO-CYP;;12.45002;12.00865;11.61326;10.58982;9.48756;9.63672;9.06271;8.56714;8.13021;7.51385;7.11199;7.35972;7.52512;7.73343;7.52879;7.16428;7.58139;6.94587;6.65042;6.29264;6.1993;5.78864;5.72253;5.72035;5.30448;4.92793;4.55875;4.11839;3.93949;3.81004;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Latvia;Mrd EURO-LVL;;16.71438;16.2101;15.75787;14.0543;11.77565;12.0193;11.72643;11.38226;10.81274;10.86601;11.04414;10.97097;11.01176;9.68981;8.67122;8.54839;10.65523;10.31253;8.17901;6.67199;5.65477;4.84333;4.31058;3.6293;3.25152;2.83564;2.70903;2.40964;2.04913;1.90769;1.44178;1.05562;0.97137;0.12486;0.04891;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Lithuania;Mrd EURO-LTL;;34.69848;35.16275;30.36317;23.93965;21.81582;21.33435;20.58218;19.43263;17.95598;17.97121;18.44835;18.00534;17.21521;15.93693;13.78898;12.29392;14.93172;13.76198;11.48046;10.45004;9.09939;8.39576;7.60848;7.20166;6.56064;5.64563;5.94721;5.70152;5.01158;4.00448;2.64227;1.95388;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Luxembourg;Mrd EURO-LUF;;33.61802;32.2035;30.82028;29.08997;26.0463;24.47197;24.07886;24.44843;24.69031;23.9348;21.82453;20.72166;19.47715;18.36618;18.15082;15.83606;17.12905;15.96754;14.42907;11.97699;11.23136;10.41461;9.72165;9.42947;9.50704;8.55645;7.39;7.28402;6.64135;6.29279;6.10098;5.55124;5.02797;5.05095;4.53598;4.31959;3.75144;3.17511;3.20926;2.82157;2.71348;2.36224;2.12901;1.731;1.70574;1.69742;1.52416;1.30716;1.49818;1.17873;1.9268;1.6262;1.23589;1.12836;1.26998;1.11367;0.89842;0.79274;0.80619;0.77846;0.76326;0.67854;0.64588;0.61235;0.64439
Operating surplus, Gross (UOGD);National currency:;Hungary;Mrd HUF;;31399.06;28178.4;26927.66;24704.89;20745.18;20335.17;18259.85;16496.57;15285.31;14928.59;13811.12;12520.02;11774.02;11941.28;11381.55;10850.37;11174.58;10484.55;10147.41;9124.74;8549.11;7731.63;7442.85;6384.44;5430.85;4950.03;4408.72;3727.77;2914.79;2322.42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Malta;Mrd EURO-MTL;;9.576468;8.991082;8.259366;7.21097;6.26782;6.64596;6.10377;5.67843;4.89508;4.83063;4.03405;3.5822;3.25292;2.98388;3.1044;2.74843;2.79178;2.55413;2.33478;2.27085;2.14109;2.1493;2.02285;1.86465;1.91428;1.71835;1.66624;1.52438;1.41993;1.35523;1.323004;1.167047;1.109954;1.023164;0.950403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Netherlands;Mrd EURO-NLG;;439.1733;410.611;387.9228;358.999;328.166;334.427;320.884;307.072;292.347;288.951;273.776;270.931;267.645;268.768;265.86;252.247;273.06;264.177;247.133;226.522;212.691;202.061;198.663;192.838;180.596;168.001;161.973;151.936;139.347;132.884;126.522;115.8398;114.9419;112.5702;107.7044;103.2495;93.9905;88.5983;90.8275;90.4851;87.8598;78.1294;72.9729;70.1758;62.6656;56.289;53.0744;48.9988;47.5396;40.0923;40.3089;33.4441;29.4785;26.3144;23.9258;22.1198;19.7459;17.9269;16.2719;15.838;14.5377;12.5825;12.0369;11.4862;11.4699
Operating surplus, Gross (UOGD);National currency:;Austria;Mrd EURO-ATS;;198.4027;194.3858;184.5181;167.3746;156.0767;155.4724;153.0036;146.6886;142.1507;135.9549;131.921;127.7553;127.4893;126.6173;120.2072;116.3312;123.4404;121.7415;113.8178;106.4646;99.7767;93.1933;90.3382;87.1651;83.5454;77.8658;75.4323;71.6888;68.7057;65.9305;60.3112;57.8397;56.8709;54.7525;51.6517;47.8877;44.395;42.1814;40.7416;38.3424;36.171;35.4176;31.9471;28.0514;26.7983;25.097;21.6895;21.3698;19.3531;17.1784;17.1424;15.1403;14.2419;12.5991;11.8553;10.2795;9.3812;8.7577;8.3765;7.87;7.3578;6.8522;6.3327;6.1281;5.5979
Operating surplus, Gross (UOGD);National currency:;Poland;Mrd PLN;;1814.645;1705.138;1546.04;1249.462;1151.56;1080.683;1010.149;955.357;912.477;910.059;852.569;819.349;809.906;771.993;704.049;698.504;621.837;593.871;543.492;500.864;470.758;405.54;380.979;357.237;349.771;302.608;272.88;233.764;196.917;162.114;119.36;80.718;58.977;44.178;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Portugal;Mrd EURO-PTE;;106.7653;102.4255;96.016;85.0603;79.2727;87.3156;84.646;82.6584;80.235;77.3886;74.7277;73.6481;72.6049;73.2708;74.0052;72.4211;72.7567;71.6353;66.2506;62.4966;61.4921;58.8409;56.986;54.6685;51.5509;48.5102;45.2817;42.2649;38.9841;37.2919;34.8854;30.6976;29.2723;28.0347;25.563;20.9573;18.1712;15.1558;12.8205;11.4722;9.582;6.5504;4.6584;4.3389;3.5989;2.6726;1.8759;1.3232;0.8518;0.6708;0.7617;0.7495;0.6376;0.5323;0.4462;0.4174;0.4147;0.3855;0.3642;0.3598;0.2949;0.2766;0.2861;0.2391;0.2442
Operating surplus, Gross (UOGD);National currency:;Romania;Mrd RON;;988.9053;872.5029;767.845;621.3444;554.7947;552.7996;505.9288;455.9356;405.2031;398.101;373.7486;356.8982;357.9083;337.1162;304.3938;302.4734;290.059;235.6115;172.919;141.5714;129.5893;97.8897;76.7825;57.3407;41.2008;30.638;19.4423;16.1018;6.7455;4.4635;3.1786;1.2114;0.3848;0.1191;0.0405;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Slovenia;Mrd EURO-SIT;;26.64256;26.19782;23.44759;19.22468;17.86273;17.79031;17.16967;16.1535;15.0655;14.64636;14.16948;13.57996;13.09711;13.52283;13.11264;13.41356;14.39884;13.40382;11.73308;10.53449;10.01414;9.34102;8.48748;7.54917;6.75074;6.30703;5.5798;4.97238;4.08587;3.45264;2.6297;1.90671;1.22208;0.44868;0.29686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Slovakia;Mrd EURO-SKK;;61.85228;58.66754;49.05826;45.22012;42.94264;44.27152;43.30459;41.53602;41.28034;41.87869;40.44446;40.18744;40.189;38.92714;37.85162;34.40095;38.33897;34.66528;30.62427;26.47213;24.79517;21.31879;18.91511;17.64728;15.69559;14.28973;12.84171;12.00308;10.91372;10.09256;8.70159;7.48751;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Finland;Mrd EURO-FIM;;124.705;118.9725;114.0864;103.584;99.078;97.187;94.931;93.347;85.906;82.969;79.778;77.632;76.359;77.669;75.233;71.017;81.726;80.47;71.607;68.181;66.922;63.115;62.595;61.81;57.526;52.298;49.997;45.399;41.143;40.709;35.977;32.462;29.043;27.918;31.245;30.23;26.971;23.721;22.431;20.919;19.944;18.036;15.965;13.93;12.801;11.222;9.385;7.963;7.28;6.624;6.3884;4.8795;4.0122;3.466;3.3782;3.054;2.5458;2.1714;2.0425;1.9819;1.8452;1.6882;1.5576;1.5315;1.3264
Operating surplus, Gross (UOGD);National currency:;Sweden;Mrd SEK;;2255.024;2201.003;2094.36;1829.489;1681.141;1634.652;1523.965;1487.022;1417.879;1428.663;1301.487;1224.235;1216.803;1281.909;1237.802;1088.302;1144.216;1157.563;1110.052;1008.744;976.537;907.285;862.135;829.865;834.768;791.664;760.1;737.091;703.418;736.035;653.425;595.23;542.115;507.799;480.373;462.45;430.254;386.142;364.035;338.73;317.224;275.16;237.089;199.635;185.249;159.543;134.818;115.571;116.888;113.218;98.736;82.781;70.285;62.791;62.941;55.845;51.276;50.403;46.364;44.723;41.653;37.09;35.482;34.664;32.888
