Country;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Croatia;859.315;846.191;831.98;819.812;809.574;800.016;788.916;743.03;769.248;733.12;764.115;769.261;769.83;765.396;758.909;751.445;741.283;729.977;717.123;701.04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Italy;13900.311;13776.152;13668.789;13586.457;13449.152;13294.414;13117.008;12827.385;12505.325;12271.057;12127.54;12029.158;11908.794;11770.684;11613.305;11413.514;11171.735;10945.957;10754.547;10579.709;10403.85;10225.069;10056.777;9886.766;9701.133;9485.49;9275.586;9085.91;8884.511;8667.873;8449.839;8233.936;8015.839;7800.755;7594.587;7394.439;7292.47;7347.502;7439.755;7474.63;7419.792;7292.756;7138.575;6976.381;6826.461;6678.172;6518.051;6356.212;6199.611;6034.149;5862.95;5710.05;5583.7;5457.3;5320.9;5194.95;5074.6;4974.65;4887.45;4778.95;4673.8
Cyprus;146.096;143;139.166;135.132;130.641;125.98;121.364;116.724;112.442;108.476;104.624;101.037;97.858;95.043;92.173;89.494;87.23;85.107;83.181;80.466;78.079;72.876;75.533;74.45;73.181;71.846;70.485;69.067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Latvia;392.556;390.196;388.918;388.383;387.247;385.831;383.345;380.699;379.665;380.343;382.658;384.824;385.573;384.947;381.479;376.54;372.044;366.968;361.061;356.528;354.219;352.456;350.564;347.025;342.22;338.108;335.618;332.574;327.799;319.95;314.95;314.578;310.977;306.01;302.711;302.439;304.912;307.416;311.739;318.457;324.333;316.048;325.642;322.084;317.845;313.596;308.505;302.947;297.011;289.524;273.976;-;-;-;-;-;-;-;-;-;-
Lithuania;556.512;554.175;552.085;550.997;549.362;547.821;544.927;542.469;542.766;544.32;545.101;546.323;546.843;543.506;538.507;533.531;527.632;518.168;506.296;492.535;483.646;479.775;473.027;464.439;455.993;447.852;440.314;432.318;422.518;412.962;403.912;394.999;385.303;376.033;369.129;364.999;364.217;366.811;371.782;377.363;382.795;385.864;370.608;378.978;373.592;368.525;362.288;352.051;339.135;325.575;306.779;-;-;-;-;-;-;-;-;-;-
Luxembourg;91.762;89.557;87.268;85.17;83.044;80.899;78.607;76.215;74.159;72.172;70.565;69.469;68.185;67.261;66.27;65.333;64.296;63.264;62.406;61.43;61.421;61.482;60.617;59.717;58.625;57.234;55.788;54.466;53.294;52.14;51.246;50.531;49.933;49.42;49.034;48.588;48.427;48.758;49.23;49.612;49.691;49.339;48.738;47.938;47.271;46.756;46.042;45.195;44.201;43.255;42.499;41.699;40.799;39.799;38.999;38.399;37.299;36.199;35.299;34.299;33.899
Hungary;1959.45;1916.097;1870.962;1840.096;1812.403;1780.406;1748.022;1691.698;1688.795;1612.593;1667.309;1651.881;1632.087;1614.507;1557.076;1584.156;1572.345;1563.168;1555.58;1548.448;1538.027;1526.242;1514.169;1498.726;1484.381;1468.119;1450.113;1434.538;1420.79;1405.205;1384.802;1382.626;1380.117;1357.25;1335.356;1309.136;1297.654;1323.816;1366.443;1407.6;1432.68;1426.127;1406.098;1383.224;1357.462;1326.58;1296.792;1271.734;1242.411;1215.997;1190.474;1167.08;1144.359;1115.107;1082.237;1046.166;1013.762;984.131;955.569;928.935;899.767
Malta;96.234;93.615;90.849;88.048;84.947;81.56;77.976;74.22;70.474;66.905;63.468;60.116;57.595;56.487;56.009;54.034;52.847;51.546;49.675;48.98;50.778;53.333;50.777;49.729;48.175;46.753;45.463;44.668;43.825;42.897;41.92;40.787;39.752;38.971;38.118;35.722;33.662;32.208;29.618;29.394;29.946;30.066;30.048;30.148;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Netherlands;3425.045;3353.28;3276.56;3199.388;3122.484;3046.497;2963.355;2871.685;2770.356;2655.657;2566.637;2505.072;2443.321;2391.589;2349.406;2309.565;2269.912;2235.805;2209.585;2186.608;2163.472;2141.688;2120.327;2096.779;2072.356;2047.225;2020.785;1996.76;1972.612;1946.669;1919.633;1891.315;1858.537;1822.041;1786.601;1749.467;1719.102;1698.286;1678.187;1655.134;1628.666;1598.11;1565.111;1531.82;1502.235;1474.788;1442.856;1410.78;1381.597;1353.837;1325.362;1295.974;1266.556;1235.482;1204.237;1176.091;1147.619;1120.069;1093.742;1064.318;1033.703
Austria;1704.957;1681.093;1657.776;1636.255;1615.242;1594.448;1570.293;1541.958;1511.807;1486.978;1475.492;1461.231;1436.551;1411.313;1378.093;1332.766;1284.422;1255.689;1249.849;1240.149;1235.842;1231.691;1226.965;1220.332;1212.232;1202.445;1191.269;1179.982;1169.34;1158.88;1146.612;1132.855;1118.313;1102.167;1086.132;1073.815;1071.027;1086.967;1116.158;1143.812;1161.899;1166.513;1160.161;1149.761;1137.874;1127.066;1113.484;1098.004;1082.115;1066.14;1051.055;1036.361;1020.286;1001.429;979.154;958.164;937.449;916.714;898.854;879.734;861.456
Poland;7000.934;6811.395;6601.702;6390.506;6171.564;5959.591;5759.873;5568.33;5395.918;5248.372;5170.702;5153.082;5138.832;5123.943;5096.167;5047.048;4984.796;4919.497;4849.271;4760.74;4684.923;4619.303;4556.612;4472.277;4380.298;4277.088;4172.582;4078.716;3994.341;3920.593;3834.941;3743.11;3662.212;3577.349;3524.663;3495.941;3482.027;3494.418;3532.728;3568.455;3590.753;3569.776;3512.867;3434.244;3338.581;3238.702;3127.59;3008.271;2893.279;2789.16;2675.375;2608.199;2495.207;2349.076;2249.659;2142.357;2034.555;1946.118;1853.488;1774.035;1702.766
Portugal;2295.036;2262.325;2228.75;2194.957;2158.732;2122.996;2087.505;2051.225;2020.126;1992.034;1953.409;1914.35;1884.332;1859.019;1836.157;1814.038;1788.686;1761.583;1735.825;1705.274;1665.503;1628.057;1597.032;1562.911;1529.016;1495.949;1462.768;1432.12;1402.972;1325.804;1339.107;1303.109;1269.883;1241.474;1215.16;1189.138;1169.439;1159.795;1148.985;1104.209;1076.246;1067.915;1036.005;1008.51;986.18;923.445;855.78;840.815;837.07;836.058;818.963;792.115;777.455;764.12;756.445;741.7;730.21;729.45;722.74;713.744;698.995
Romania;3683.38;3629.06;3572.795;3521.685;3464.796;3405.478;3336.075;3277.424;3250.274;3249.355;3265.53;3287.089;3243.248;3148.728;3121.684;3079.543;3034.152;3047.633;3048.19;3030.161;2989.236;2936.992;2889.212;2831.333;2775.525;2721.201;2659.105;2597.634;2537.741;2478.639;2415.227;2348.836;2288.443;2237.258;2188.538;2155.407;2134.964;2161.737;2229.387;2268.129;2277.431;2265.909;2242.039;2199.032;2133.048;2054.306;1976.023;1916.638;1859.4;1799.834;1745.779;1692.276;1649.104;-;-;-;-;-;-;-;-
Slovenia;429.859;418.529;407.158;395.844;385.264;374.744;364.746;356.125;348.572;341.972;338.605;336.147;330.49;323.291;316.252;309.679;303.319;297.405;291.601;284.977;278.403;271.994;265.506;258.917;252.227;244.596;236.89;230.59;224.557;218.956;213.974;210.18;206.587;202.722;199.1;196.371;195.9;198.986;204.396;208.081;209.819;209.207;206.563;202.353;197.348;192.148;186.8;181.189;175.559;170.195;165.289;161.023;157.362;154.016;150.541;146.643;142.207;137.389;132.485;127.907;123.953
Slovakia;918.6;889.747;859.587;829.757;799.297;770.408;745.008;721.679;700.442;684.555;674.445;664.736;654.84;646.753;638.92;631.274;624.418;618.951;614.656;614.028;615.223;612.758;607.737;601.015;592.066;582.961;573.629;564.343;555.69;551.436;547.155;537.818;525.54;511.288;497.46;487.27;480.255;484.38;499.122;512.12;520.959;518.563;508.22;497.688;486.903;475.653;462.168;447.621;433.814;421.739;414.599;406.248;393.04;378.573;363.77;349.038;334.063;320.542;309.088;297.673;280.898
Finland;1243.606;1218.056;1192.078;1164.646;1136.539;1107.245;1073.967;1037.37;998.917;960.34;925.741;901.255;883.65;871.974;854.941;836.053;822.068;805.88;792.968;782.285;772.183;762.994;755.654;747.822;737.786;726.068;712.923;700.69;689.941;678.803;667.349;656.281;645.104;634.321;623.555;612.002;605.106;599.734;590.547;581.476;572.48;560.964;547.756;532.718;516.423;500.161;483.124;466.327;449.9;434.566;421.494;408.53;396.576;386.471;376.143;366.489;356.724;346.169;338.1;331.535;323.497
Sweden;2076.727;2050.539;2020.928;1991.502;1962.042;1930.056;1892.546;1850.245;1806.475;1760.957;1714.012;1667.929;1626.747;1594.925;1573.407;1559.856;1547.795;1537.525;1532.93;1531.476;1531.721;1535.106;1540.015;1542.835;1543.314;1541.724;1538.116;1535.326;1533.141;1528.74;1521.702;1511.035;1498.731;1485.06;1465.61;1439.364;1417.305;1402.54;1386.396;1369.901;1353.748;1334.62;1312.175;1287.173;1262.301;1237.946;1210.072;1180.992;1154.128;1127.264;1099.41;1073.703;1051.576;1029.627;1005.167;980.414;957.95;937.093;917.454;898.119;879.469
