Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Croatia;3888.53;3888.53;3888.53;4047.26;4067.206;4090.87;4129.853;4172.441;4207.993;4236.063;4254.475;4269.062;4282.921;4296.352;4306.322;4310.881;4312.749;4313.009;4311.674;4308.293;4305.555;4305.439;4300.45;4396.571;4512.598;4532.136;4534.92;4557.098;4620.03;4652.024;4600.463;4575.819;4689.023;4777.368;4767.261;4755.208;4739.746;4721.447;4701.418;4680.285;4658.254;4634.235;4611.509;4599.782;4594.778;4581.085;4559.571;4535.934;4512.082;4490.66;4470.161;4450.564;4431.275;4412.252;4391.49;4365.628;4338.683;4310.701;4280.923;4252.876;4225.675;4196.712;4167.292;4140.181
Italy;59794.95;59467.95;59109.651;59438.851;59729.081;60150.323;60536.709;60627.498;60730.582;60789.14;60233.947;59539.717;59379.449;59277.417;59095.364;58826.731;58438.31;58143.979;57969.484;57685.326;57313.203;57059.007;56974.1;56942.108;56916.317;56906.744;56890.372;56860.281;56844.303;56843.4;56831.821;56797.087;56758.521;56719.239;56671.781;56629.288;56601.931;56596.155;56593.071;56576.718;56564.074;56543.548;56501.675;56433.883;56317.749;56155.143;55955.411;55718.26;55441.001;55110.868;54751.405;54381.345;54073.489;53821.85;53537.95;53235.75;52900.5;52519;52112.35;51675.35;51252;50879.45;50536.35;50199.7
Cyprus;928.563;917.553;900.356;892.006;881.952;870.068;859.519;851.561;847.664;852.504;861.939;863.945;850.881;829.446;808.035;786.632;767.125;750.965;738.54;727.98;718.307;709.63;701.544;694.023;686.68;679.039;670.764;661.323;650.866;639.171;626.088;611.15;595.105;579.898;567.674;559.639;553.736;547.747;541.501;534.958;528.071;523.734;517.573;509.05;503.55;499.65;497.8;497.74;501.79;571.75;634.789;627.439;620;614.45;609.4;604.3;599.45;595.15;590.8;586.95;582.2;577.4;574.733;572.783
Latvia;1854.469;1867.542;1882.603;1900.449;1913.822;1927.173;1942.248;1959.537;1977.527;1993.782;2012.647;2034.319;2059.709;2097.555;2141.669;2177.322;2200.325;2218.357;2238.799;2263.122;2287.955;2310.173;2337.17;2367.55;2390.482;2410.019;2432.851;2457.221;2485.056;2520.742;2563.29;2614.338;2650.581;2663.15;2666.955;2653.434;2626.583;2599.892;2578.873;2562.047;2546.011;2531.08;2519.421;2511.701;2505.953;2497.921;2485.073;2470.989;2456.13;2437.186;2415.819;2395.674;2376.389;2359.163;2343.173;2323.619;2301.22;2283.217;2265.918;2240.623;2210.919;2181.586;2152.681;2120.979
Lithuania;2827.552;2807.34;2802.855;2794.885;2794.137;2801.543;2828.403;2868.231;2904.91;2932.367;2957.689;2987.773;3028.115;3097.282;3162.916;3198.231;3231.294;3269.909;3322.528;3377.074;3415.213;3443.067;3470.818;3499.536;3524.238;3549.331;3575.137;3601.613;3629.101;3657.144;3682.613;3700.114;3704.134;3697.838;3684.255;3655.049;3616.367;3578.913;3544.543;3514.205;3485.192;3457.179;3432.947;3413.202;3397.842;3379.514;3355.036;3328.663;3301.652;3273.894;3244.438;3213.622;3179.041;3139.689;3107.321;3078.85;3044.4;3008.05;2971.45;2935.2;2898.95;2863.35;2823.55;2778.55
Luxembourg;672.9;658.673;640.358;630.419;620.001;607.95;596.336;583.458;569.603;556.319;543.36;530.946;518.347;506.953;497.783;488.65;479.993;472.637;465.158;458.095;451.63;446.175;441.525;436.3;430.475;424.7;419.45;414.225;408.625;402.925;397.475;392.175;387;381.85;377.1;373.45;370.75;368.355;366.706;365.998;365.622;365.525;365.225;364.15;362.856;362.007;361.357;360.731;358.95;355.05;350.45;346.6;342.421;339.171;337.5;335.9;335;333.9;331.5;327.8;324.1;320.8;316.9;314.9
Hungary;9917.873;9896.5;9710.089;9750.149;9771.141;9775.564;9787.966;9814.023;9843.028;9866.468;9893.082;9920.361;9958.823;10000.023;10022.65;10038.188;10055.78;10071.37;10087.065;10107.146;10129.552;10158.607;10187.575;10210.971;10237.53;10266.57;10290.485;10311.238;10328.965;10343.355;10357.523;10369.341;10373.4;10373.988;10481.718;10596.487;10612.741;10630.564;10648.713;10668.095;10689.463;10705.535;10711.848;10711.122;10704.152;10684.822;10648.031;10598.677;10540.525;10478.72;10432.055;10398.489;10367.537;10337.91;10298.723;10255.815;10216.604;10178.653;10147.935;10119.835;10087.947;10060.825;10027.958;9983.512
Malta;541.431;530.815;519.897;515.332;504.062;484.63;467.999;455.356;445.053;434.558;425.967;420.028;416.268;414.508;412.477;409.379;406.724;405.308;403.834;401.268;398.582;395.969;393.028;390.087;387.578;385.287;382.79;379.905;377.419;374.88;371.581;368.073;364.472;360.849;357.336;353.875;350.981;348.572;342.797;336.827;333.04;328.326;324.997;322.616;319.25;316.031;312.758;311.54;309.958;307.752;308.374;326.238;328.202;328.449;326.447;323.581;323.555;323.258;324.536;329.473;333.808;335.759;335.56;334.264
Netherlands;17688.574;17598.82;17509.522;17441.5;17344.874;17231.624;17131.296;17030.314;16939.923;16865.008;16804.432;16754.962;16693.074;16615.394;16530.388;16445.593;16381.696;16346.101;16319.868;16281.779;16225.302;16148.929;16046.18;15925.513;15812.088;15707.209;15610.65;15530.498;15459.006;15382.838;15290.368;15184.166;15069.798;14951.51;14848.907;14760.094;14665.037;14572.278;14491.632;14424.211;14367.07;14312.69;14247.208;14149.8;14038.27;13941.7;13856.185;13774.037;13666.335;13545.056;13439.322;13328.593;13194.497;13038.526;12877.983;12729.721;12598.201;12456.251;12294.732;12127.12;11965.966;11805.689;11638.712;11486.631
Austria;9193.718;9126.865;8955.244;8916.864;8879.92;8840.521;8797.566;8736.668;8642.698;8546.356;8479.823;8429.991;8391.643;8363.404;8343.323;8321.496;8295.486;8268.641;8227.829;8171.966;8121.423;8081.957;8042.293;8011.566;7992.324;7976.789;7968.041;7959.017;7948.278;7936.118;7905.633;7840.709;7754.89;7677.85;7619.567;7585.317;7574.586;7569.794;7564.985;7561.434;7561.91;7574.14;7568.71;7549.433;7549.425;7562.305;7568.43;7565.525;7578.903;7599.038;7586.115;7544.201;7500.482;7467.086;7441.055;7415.403;7376.998;7322.066;7270.889;7223.801;7175.811;7129.864;7086.299;7047.539
Poland;40016.59;39722.176;37709.347;37899.07;37965.475;37974.75;37974.826;37970.087;37986.412;38011.735;38040.196;38063.164;38063.255;38042.794;38079.373;38125.758;38120.56;38141.267;38165.445;38182.222;38204.57;38230.364;38248.076;38258.629;38465.143;38663.481;38649.66;38624.37;38594.998;38542.652;38461.408;38363.667;38246.193;38110.782;37961.529;37824.487;37668.045;37456.119;37201.885;36904.133;36571.808;36230.481;35898.587;35574.15;35247.217;34965.6;34689.05;34356.3;34015.199;33678.899;33357.2;33055.65;32783.5;32664.3;32548.3;32294.655;31987.155;31681;31444.95;31139.45;30712;30308.5;29964;29637.45
Portugal;10291.981;10291.981;10291.981;10297.081;10286.263;10283.822;10300.3;10325.452;10358.076;10401.062;10457.295;10514.843;10557.56;10573.1;10568.247;10558.177;10542.964;10522.288;10503.33;10483.861;10458.821;10419.631;10362.722;10289.898;10217.828;10160.196;10108.977;10063.945;10026.176;9991.525;9964.675;9952.494;9960.235;9983.218;10005;10019.61;10030.031;10032.733;10023.613;9996.232;9957.865;9911.77;9851.362;9766.312;9661.265;9558.25;9455.675;9355.81;9093.47;8754.365;8633.1;8630.43;8643.756;8680.431;8757.705;8836.65;8874.52;8930.99;8998.595;9035.365;9030.355;8993.985;8929.316;8857.716
Romania;18891.524;19043.875;19197.455;19265.25;19371.648;19473.97;19588.715;19702.267;19815.616;19908.979;19983.693;20058.035;20147.528;20246.871;20367.487;20537.875;20882.982;21193.76;21319.685;21451.748;21574.326;21730.496;22131.97;22442.971;22472.04;22507.344;22553.978;22619.004;22684.27;22730.211;22763.28;22794.284;23001.155;23201.835;23161.458;23057.662;22949.43;22836.841;22732.999;22640.547;22560.478;22475.741;22353.07;22207.282;22090.488;21951.464;21756.096;21551.634;21293.583;21029.429;20835.681;20657.957;20461.567;20250.398;20009.141;19799.831;19361.887;19217.312;19103.458;19002.758;18888.302;18755.373;18641.118;18476.964
Slovenia;2136.587;2125.613;2107.538;2102.419;2088.385;2073.894;2066.388;2065.042;2063.531;2061.98;2059.953;2057.159;2052.842;2048.583;2039.669;2021.316;2010.323;2006.867;2000.474;1997.012;1995.733;1994.53;1992.06;1988.925;1983.045;1981.629;1985.956;1988.628;1989.872;1989.443;1991.746;1996.498;1999.429;1998.161;1996.351;1995.196;1989.776;1965.964;1941.641;1932.154;1922.321;1910.334;1906.53;1901.315;1882.599;1862.548;1842.376;1820.249;1793.581;1776.132;1766.697;1752.233;1738.335;1724.891;1713.874;1704.546;1689.528;1669.905;1649.16;1632.114;1616.971;1603.649;1594.131;1584.72
Slovakia;5498.612;5484.771;5449.35;5458.827;5454.147;5446.771;5439.232;5430.798;5423.801;5418.649;5413.393;5407.579;5398.384;5391.428;5386.406;5379.233;5374.622;5373.054;5372.807;5372.28;5373.374;5376.912;5378.867;5388.72;5396.02;5390.516;5383.291;5373.361;5361.999;5346.331;5325.305;5305.016;5303.294;5299.187;5275.942;5250.596;5222.84;5193.838;5161.768;5127.097;5091.971;5055.099;5016.105;4979.815;4938.973;4890.125;4840.501;4789.506;4739.105;4689.623;4641.445;4596.621;4557.449;4538.223;4518.607;4483.915;4449.367;4411.666;4370.983;4327.341;4282.017;4238.188;4191.667;4068.094
Finland;5577.832;5571.834;5543.14;5529.543;5521.606;5515.524;5508.214;5495.303;5479.531;5461.512;5438.972;5413.97;5388.272;5363.352;5338.871;5313.399;5288.72;5266.268;5246.095;5228.172;5213.014;5200.598;5188.008;5176.209;5165.474;5153.497;5139.835;5124.573;5107.79;5088.333;5066.447;5041.992;5013.74;4986.431;4964.371;4946.481;4932.123;4918.154;4902.206;4881.803;4855.787;4826.933;4799.964;4779.535;4764.69;4752.528;4738.902;4725.664;4711.44;4690.574;4666.081;4639.657;4612.124;4606.307;4623.785;4626.469;4605.744;4580.869;4563.732;4548.543;4523.309;4491.443;4461.005;4429.634
Sweden;10490.65;10459.272;10417.602;10353.442;10278.887;10175.214;10057.698;9923.085;9799.186;9696.109;9600.378;9519.374;9449.213;9378.126;9298.515;9219.637;9148.092;9080.505;9029.572;8993.531;8958.229;8924.958;8895.96;8872.109;8857.874;8850.974;8846.062;8840.998;8826.939;8780.745;8718.561;8668.067;8617.375;8558.835;8492.964;8436.489;8397.804;8369.829;8350.386;8336.605;8329.033;8325.263;8320.503;8310.531;8293.678;8275.599;8251.54;8222.286;8192.437;8159.955;8136.312;8122.3;8098.334;8042.8;7968.072;7912.273;7867.931;7807.797;7733.853;7661.353;7604.327;7561.588;7519.997;7484.656
