Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Cyprus;460.294;452.153;448.24;442.76;445.35;429.34;407.92;387.22;370.51;364.94;372.77;394.91;409.76;408.83;406.44;406.31;392.57;376.05;369.26;356.41;342.9;331.1;324.37;317.56;312.44;306.92;302.33;300.6;299.04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Latvia;886.499;882.31;876.01;899.88;916.95;915.73;901.95;898.54;898.91;888.18;897.31;878.76;863.69;853.04;910.28;1057.37;1067.18;1036.9;979.07;968.77;966.17;960.15;946.39;929.46;961.69;979.15;982.77;941.13;935.96;1044.779;1162.474;1248.525;1347.505;1358.985;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lithuania;1371.634;1370.272;1367.97;1360.72;1382.68;1377.33;1357.01;1363.67;1335.98;1319.3;1293.17;1276;1253.6;1247.76;1318.32;1429.02;1454.24;1431.24;1437.75;1425.33;1442.98;1410.93;1356.9;1402.75;1465.94;1498.4;1509.95;1500.63;1486.38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luxembourg;288.448;285.456;282.04;275.75;271.65;264.66;257.16;249.53;243.92;238.91;233.74;229.21;223.68;217.84;214.42;212.19;206.28;201.69;197.89;196.59;194.99;192.59;190.03;184.69;180.46;177.21;173.51;171.19;169.66;168.247;166.632;166.935;166.228;164.008;161.687;159.466;157.549;155.53;153.814;153.814;153.103;153.611;153.916;153.408;153.713;152.392;153.103;153.306;153.205;151.173;148.531;146.195;142.334;138.27;135.426;133.495;134.003;135.527;134.816;133.597;131.26;131.768;131.362;129.94
Hungary;4729.165;4698.831;4634.55;4603.23;4644.57;4606.38;4548.37;4482.21;4335.09;4222.6;4029.27;3958.72;3902.98;3873.78;3894.48;3848.31;3901.97;3928.44;3901.5;3900.39;3921.87;3870.63;3868.28;3856.17;3809.5;3695.62;3610.29;3605.03;3622.86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malta;274.123;268.748;263.22;259.18;252.2;238.6;225.03;208.44;199.4;192.12;181.1;173.33;168.62;163.79;161;160.94;156.95;153.51;151.26;149.37;148.82;149.39;148.98;146.4;148.19;147.21;147.51;147.12;144.86;140.435;139.743;138.535;136.778;134.209;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Netherlands;9804.484;9703.345;9519;9359;9394;9238;9007;8805;8674;8595;8601;8701;8717;8650;8711;8777;8657;8451;8276;8225;8327;8383;8337;8184;8043;7823;7644;7417;7265;7112.334;7062.136;7029.988;6932.071;6801.132;6597.303;6424.627;6309.351;6174.044;6030.104;5917.275;5868.357;5921.562;6010.663;6037.397;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Austria;4618.628;4579.014;4448.34;4356.12;4422.28;4375.57;4308.93;4244.04;4188.69;4178.71;4156.13;4158.08;4127.05;4074.73;4051;4073.69;4000.65;3931.57;3864.55;3823.83;3805.93;3782.1;3784.54;3760.78;3723.78;3671.98;3636.73;3613.7;3600.39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Poland;16779.585;16733.002;16656;16442;16461;16484;16423;16197;16084;15862;15568;15591;15563;15473;15868;15800;15240;14594;14116;13795;13617;13782;14207;14526;14757;15356;15177;14969;14791;14658;14894;15181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Portugal;5075.461;5030.38;4982.75;4890.07;4980;4940.05;4829.34;4672.89;4604.86;4550.55;4484.76;4608.59;4802.2;4914.08;4984.41;5132.46;5108.45;5095.01;5063.31;5078.34;5109.5;5159.88;5144.2;5057.28;4941.53;4864.05;4730.88;4604.59;4525.06;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Romania;7938.186;7873.187;7807.1;8658.19;8828.5;8819.33;8800.71;8579.2;8671.1;8779.24;8723.56;8814.54;9364.74;9487.96;9520.62;9664.2;9696.26;9577.73;9423.15;9468.45;9564.58;9609.41;10897.42;10994.77;11090.05;11210.7;11545.9;11480.12;11866.52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovenia;1091.946;1072.92;1061.06;1047.11;1053;1028.04;994.54;968.43;949.56;935.45;930.55;939.77;946.2;961.93;980.98;992.46;969.95;939.99;928.36;933.84;931.54;934.48;919.97;914.74;900.4;886.74;887.68;904.17;922.45;815.757;818.825;834.037;873.046;923.469;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovakia;2573.075;2558.252;2513.48;2531.27;2583.64;2566.73;2530.67;2492.12;2424;2363.05;2329.25;2328.96;2315.31;2317.5;2365.8;2433.75;2357.28;2301.4;2216.15;2170.35;2164.55;2126.95;2123.68;2101.68;2132.08;2198.55;2205.88;2224.88;2146.78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Finland;2667.983;2656.017;2635.5;2619.9;2670.5;2622.3;2559.1;2532.5;2519.9;2522.4;2531.9;2551.6;2530;2491;2506.3;2571.8;2516.3;2463.7;2420.1;2384.9;2373.5;2368.6;2340.9;2304.9;2258.3;2212.5;2168.9;2098.6;2061.6;2020.9;2056.1;2181.9;2336.1;2473.3;2481.6;2455.9;2446.4;2422.8;2430.8;2419;2415.9;2423.2;2406.3;2367.4;2299.843;2248.925;2268.47;2308.664;2329.211;2341.339;2333.521;2290.521;2269.573;2285.109;2237.574;2204.258;2233.422;2275.249;2270.89;2244.735;2245.669;2237.055;2246.292;2204.361
Sweden;5284.81;5237.203;5127.8;5064.3;5131.6;5097.4;5021.8;4910.1;4837.2;4772.4;4704.8;4657.1;4625.8;4523.7;4498.7;4593;4540.7;4429.5;4357.65;4332.6;4350.5;4361.4;4347.4;4188.3;4099.1;4010.4;3946.3;3984.5;4007.7;3949.6;3978.4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
