Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Croatia;Mrd EURO-HRK;;11.75881;11.14807;10.53974;9.11167;7.06762;9.58267;9.03555;8.47154;8.12801;7.80588;7.47485;7.47067;7.03511;6.60451;6.65424;6.46131;7.16336;6.66033;6.25342;5.72656;5.38973;5.2487;4.87345;4.36704;4.11972;3.71786;3.7305;3.17076;2.84334;2.70672;2.23971;0.84935;0.03822;0.00571;0.00389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Italy;Mrd EURO-ITL;;268.7391;259.8717;219.9821;221.2735;192.4514;227.481;224.407;221.638;210.342;218.918;214.452;208.922;218.403;204.77;198.29;185.134;200.955;211.657;203.975;188.173;178.146;168.108;166.768;159.62;158.225;152.271;150.169;112.278;100.194;96.14;85.2991;79.4136;73.0117;67.9462;59.3626;48.7816;44.4414;35.5842;29.5103;26.3312;23.5121;20.674;15.9031;12.4568;11.1761;8.3248;7.6824;6.785;5.1446;3.5121;4.5169;3.6351;3.1376;3.1242;3.0029;2.7548;2.6444;2.6358;2.3384;2.2116;2.1364;2.0183;1.8261;1.7277;1.5034
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Cyprus;Mrd EURO-CYP;;3.933428;3.75833;3.600594;2.78814;2.28487;3.23332;3.13239;2.90529;2.65171;2.50116;2.46982;2.30876;2.56363;2.57359;2.67449;2.58836;3.04891;2.93465;2.41864;2.14433;1.94134;1.6918;1.3163;1.2106;1.0809;0.896;0.8344;0.7589;0.7653;0.7704;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Latvia;Mrd EURO-LVL;;4.794218;4.173558;3.686442;3.27902;3.37219;3.68856;3.51732;3.07652;2.94949;2.81241;2.48612;2.3288;2.16006;2.03547;1.70621;1.61102;2.12065;2.40475;1.94614;1.51436;1.20835;1.05692;0.88058;0.84051;0.77841;0.75304;0.79039;0.67112;0.54973;0.48366;0.400252;0.240734;0.096549;0.014432;0.006202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Lithuania;Mrd EURO-LTL;;7.800076;5.932393;5.662006;5.27034;4.1262;4.91685;4.54898;4.28194;3.92162;3.72999;3.52479;3.29801;3.23155;3.10281;2.77489;2.62484;3.37328;2.92335;2.29553;2.00987;1.81019;1.8112;1.7636;1.61007;1.56797;1.61118;1.65842;1.48451;1.00891;0.8545;0.47382;0.244961;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Luxembourg;Mrd EURO-LUF;;9.14483;8.49501;8.544043;7.93686;6.45569;6.55023;6.33364;5.9549;5.52331;5.14941;5.92526;5.39277;5.14476;4.84981;4.51601;4.19296;4.31325;4.4234;3.90368;3.69196;3.30993;2.94096;2.82989;2.81194;2.82295;2.43704;2.05721;1.85454;1.65268;1.60229;1.530312;1.476943;1.183214;1.105744;1.002702;0.915707;0.775122;0.694764;0.658365;0.621925;0.569066;0.48834;0.384916;0.321565;0.323659;0.268016;0.250797;0.213553;0.210189;0.198183;0.184172;0.170985;0.143586;0.119484;0.10505;0.083822;0.070657;0.0654;0.06393;0.06295;0.057158;0.054196;0.052258;0.052837;0.052057
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Hungary;Mrd HUF;;13108.88;13018.33;11174.33;8622.3;7665.27;7610.82;6826.55;5916.48;5417.38;5441.95;5000.19;4577.08;4339.32;4195.67;4159.87;3776.92;3741.04;3512.97;3105.06;3044.94;2973.62;2697.59;2298.66;2107.11;1982.81;1668.31;1441.72;1205.4;1046.32;886.19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Malta;Mrd EURO-MTL;;1.328679;1.079748;1.031767;0.89891;0.72213;1.42265;1.3912;1.27779;1.14756;1.06944;1.00032;0.90635;0.86552;0.86978;0.84219;0.77038;0.73727;0.72116;0.68278;0.65196;0.58302;0.50571;0.48458;0.48025;0.44168;0.3882;0.31768;0.33215;0.29529;0.31688;0.220974;0.214397;0.212717;0.196345;0.172323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Netherlands;Mrd EURO-NLG;;103.5541;99.1726;91.9962;77.593;65.629;89.759;83.263;78.256;75.404;70.79;69.618;64.856;61.454;62.034;61.61;60.399;66.532;64.571;62.783;58.575;55.001;52.894;51.413;49.973;44.72;41.914;37.731;35.558;33.373;31.178;26.8471;25.9008;23.0206;22.1627;20.6748;18.748;17.9031;16.8965;16.8543;15.6427;15.0792;14.1961;13.8887;13.5743;13.3211;12.9162;12.3296;11.6926;9.7527;8.5633;7.634;7.2663;6.6806;5.9784;5.01;4.359;4.2019;3.5956;3.2314;2.8673;2.5189;2.1484;1.9702;1.8149;1.6542
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Austria;Mrd EURO-ATS;;58.93047;52.21863;50.40659;37.41177;32.63755;48.85936;47.14374;46.58716;45.37584;44.65338;42.43619;41.64564;40.83938;39.19324;36.81133;35.5187;35.39682;34.07318;31.99817;31.21776;29.8111;28.68064;28.83364;27.77215;26.71041;26.14517;24.63766;24.243;22.64503;20.62524;21.45122;19.50969;18.86191;17.79586;16.88264;16.04788;14.92757;13.78796;13.25952;13.25631;12.84669;11.44749;10.62331;10.11758;9.47415;8.84359;8.0642;7.99326;7.13359;6.68639;6.79187;6.35983;5.38884;4.51105;3.9851;3.51984;3.24096;2.86095;2.73091;2.44481;2.24252;1.96799;1.84445;1.72813;1.51573
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Poland;Mrd PLN;;502.7247;441.7873;384.4518;356.294;228.474;292.056;276.005;251.643;218.73;210.071;196.476;187.602;191.518;194.693;177.848;157.318;166.997;155.99;135.126;124.985;117.173;110.204;105.537;96.038;90.756;86.797;75.48;67.945;57.376;45.369;32.8656;22.1294;13.5055;11.2102;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Portugal;Mrd EURO-PTE;;37.2587;34.78561;32.03578;26.46348;24.12249;29.95972;28.90502;27.19148;25.04131;23.91828;21.97491;20.63708;20.3773;21.23159;20.76882;19.34019;22.66913;22.7829;22.11455;20.27465;18.39454;17.39486;17.14595;15.71174;15.0432;14.01364;12.96475;11.46955;10.60736;10.07468;9.30191;8.22036;8.38238;6.93796;6.03565;5.15764;4.43625;3.45172;2.94755;1.4166;0.80638;1.1104;0.86621;0.42739;0.45709;0.37036;0.30286;0.29142;0.21784;0.17101;0.14329;0.13489;0.11173;0.09694;0.09168;0.07682;0.06736;0.0624;0.04913;0.04401;0.03952;0.0353;0.0331;0.03098;0.02739
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Romania;Mrd RON;;163.065;150.6362;125.19;112.1327;91.2651;100.2773;88.5579;77.981;77.9788;85.9044;77.1335;72.8066;70.4519;65.4798;54.9641;46.796;54.05;45.6606;37.3528;32.2953;24.0579;20.352;15.3173;11.3707;7.7987;5.4713;3.4782;1.5263;0.5156;0.3998;0.2657;0.1041;0.012;0.0097;0.0029;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Slovenia;Mrd EURO-SIT;;7.745522;6.305963;6.724428;5.44053;3.94474;6.16108;5.88836;5.6118;5.41172;5.27091;5.05682;4.80095;4.66927;4.61383;4.23273;4.05464;4.57349;4.46262;4.08684;3.96505;3.79748;3.51557;3.24638;2.84275;2.57393;2.46775;2.0969;1.80659;1.63365;1.36765;1.079834;0.818564;0.515602;0.168237;0.088714;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Slovakia;Mrd EURO-SKK;;13.4157;12.80299;11.53592;10.08374;9.46345;9.93744;9.22595;8.69869;8.04847;7.86703;7.33965;6.89877;6.60106;6.7832;5.97459;5.66612;6.03241;6.25013;5.58026;5.67945;4.69962;4.34295;3.7824;3.21805;3.22862;2.80017;2.70473;2.18734;2.1847;1.92008;1.85419;1.12218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Finland;Mrd EURO-FIM;;34.63204;33.92421;32.57678;30.363;28.437;30.67;29.898;28.396;27.855;26.332;26.181;25.989;24.807;23.875;20.944;20.222;20.969;20.707;19.952;19.111;18.212;17.954;16.879;15.925;15.617;15.154;14.381;13.397;11.591;10.489;10.219;9.48;9.485;10.081;10.922;11.004;9.876;7.93;7.144;6.453;5.811;4.839;4.389;3.866;3.332;2.865;2.577;2.235;1.829;1.581;1.48337;1.36845;1.12917;0.96167;0.84034;0.77972;0.7246;0.60496;0.48655;0.44401;0.37559;0.35291;0.36478;0.33429;0.29601
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Sweden;Mrd SEK;;1209.049;1198.985;1150.289;1055.345;937.349;1020.296;994.204;953.666;913.372;844.457;787.098;766.078;748.311;736.638;721.528;687.979;702.523;672.793;631.513;606.371;581.559;564.397;545.677;523.072;497.505;493.089;468.66;388.02;370.032;337.872;312.886;300.298;318.123;350.29;303.951;271.129;240.626;223.613;199.367;173.68;158.674;139.265;118.703;116.904;102.021;88.587;84.457;86.28;75.264;67.908;58.796;59.712;52.5;50.707;39.613;36.089;33.457;29.998;27.549;24.31;20.943;19.043;17.422;14.504;13.117
