"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8984771573604","86.6396761133603","82.5309992706054","79.6377054679638","79.928664072633","74.4109752460483","70.9867452135493","64.5501138952164","62.7220552063405","64.6679881070367","68.0871212121212","64.6007690567745","65.0532025871062","65.5335036352918","62.9183985998687","60.2231329690346","69.7373994070309","73.1040375988037","76.5513004300635","78.2626100880705","72.8506787330317","71.8217562254259","72.5564588979223","73.7962316817865","73.024520038803","51.6450152758823","68.9129323216094",
"Africa Eastern and Southern","AFE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","29.0872721104655","24.0897515337684","21.8033354935361","21.3182968254683","21.9681920960763","24.0372250104459","24.5446121239905","25.1481230145449","24.1062076412737","22.3950981236062","20.6115819377177","18.754996671723","21.8329890777366","23.0859355584968","24.1214897561078","24.7918903493546","25.9498552201813","25.1388625375854","25.22854901625","25.1561611646567","25.9897930772433","27.1477616358735","28.3738018450168","26.1121000036897","26.1864241618006","28.0137482221782","29.9186838383256","32.2855518520085","35.8438473134967","27.9455927220392","29.5914732507586","31.1978080697374","29.6609694920728","28.9619852316653","27.5740543623694","22.9494290293155","21.5689352286403","21.5709495303569","25.1336778197679","23.6517239815421","22.0136295228197","25.7215902547836",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.13223321494422","4.45344326574765","4.87805112036481","9.171601094149","8.88889256172819","11.2582791310323","8.57142877551021","6.77290842314672","8.89967664482985","10.0946369851427","9.78400228346932","10.922342255116","14.7632312416105","12.9487180787311","14.0206189325114","12.6760568934735","13.2173912468809","11.6629043316852","10.8417502819894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","16.7656406227943","17.2218605901391","16.3481236382711","16.4573254659014","17.5388915162771","17.9459931599035","17.3832019572539","18.6023989946479","19.7499568915919","20.0533538926136","17.1150718342052","19.1267810279712","19.2442829753782","22.3996184616988","30.4663499680728","24.4711571445955","24.6067746144935","29.6390342089534","25.6581630620646","28.5523393202322","32.6708704369052","13.9721572748741","12.8921521492077","13.6550911121343","17.0465235409333","17.8451755835992","16.5584685765708","20.2539856997652","18.9726018126173","27.3858848647358","25.4225019231281","26.1106762432308","25.7518779964114","23.3901475924531","25.3806183793269","30.0751701772369","28.8375360814658","31.6249589750328","25.1337063990468","26.5441445148711","36.2334708125524","30.8056695378572","28.0364961179565","29.3859576692167","26.3542261021715","27.09171480339","31.6518462628943","26.5443477636275","29.9384937619612","24.2600736053403","29.459362515186","34.2143988753787","34.0066516039617","23.5904002685225","23.288488906275","17.4043479645172","16.8793783508671","20.8168387437045","22.3129800040301","21.7121207136916","15.8046610984279","19.7325180775264",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6858311851382","75.38894373114","57.0849959046266","54.3213388113835","58.3803583199793","65.5262677696291","63.4678635039226","67.9057833724671","72.4750287994632","58.7573002977584","61.5431158851524","60.6699475151848","55.9401306344811","50.7470857909554","44.6950294609853","29.7545979506807","28.1244854472006","29.0041020030504","40.8362898299819","40.7907550532833","35.6420731357392","44.2757164237557",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.6408294970517","11.620333234637","10.1971272832635","11.4671662578473","16.8417629634305","20.1152855452625","21.3334108322137","20.9456161731319","20.8473864531722","22.2175607600291","23.0129911473171","25.2096077274316","28.2478654166425","25.3024181160681","25.2407486083138","27.9794352415409","29.2415371390963","28.9374877608303","28.9163151372576","28.2130014584625","27.2673911512668","28.9778991754721","31.5698080476189","31.5719272134517","31.3042701298034","22.7039815429045","30.6233200288185",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3669054390864","39.7853259736099","42.3209499332068","47.5491964410724","51.9223566565714","53.2871940078077","53.2373430919714","56.0167236899806","45.4532547077873","47.9484969879136","53.5761314846574","54.8270060953755","53.0989132875468","48.9607579756822","41.1277867445012","37.8477734420864","41.9969444654481","45.9400633846674","44.1900812427902","37.4971808156936","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677298138648","67.5853113898841","68.6277976715135","72.3840975003088","78.86788870154","79.6533178621862","82.2423856431629","90.0765642479735","97.6349633792212","98.0075860877962","96.9237967420901","97.5631880734885","97.6631210860929","98.3423922101414","91.9947768689725","96.6641687543316","95.9265985842984","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829640174","9.61589241271337","8.60838993811478","6.5109154667574","5.06197268111518","6.92104948030999","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.4366857499034","17.9248783778462","16.6108723998011","18.0342289894963",
