Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
GNI, at current prices (UVGN);National currency:;Croatia;Mrd EURO-HRK;;71.96125;69.15327;64.86093;58.42041;51.50519;54.67685;51.6039;49.2612;46.3394;45.82758;43.81623;43.77378;43.07242;43.68961;42.91008;42.91005;45.18352;42.29853;38.52781;35.40744;33.12359;30.1895;27.85327;25.24227;23.53269;21.84897;21.59725;19.64835;17.27126;15.70663;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Italy;Mrd EURO-ITL;;2099.019;2022.624;1962.066;1813.98;1681.399;1811.878;1790.958;1746.276;1700.656;1643.911;1627.548;1609.956;1622.373;1644.586;1607.866;1576.263;1622.732;1616.086;1558.847;1495.982;1449.916;1387.969;1344.236;1300.145;1236.773;1172.861;1132.596;1087.357;1035.752;976.25;901.218;853.259;826.681;787.066;721.988;657.084;599.807;539.553;492.204;446.404;398.263;348.394;298.788;253.415;213.156;170.472;138.986;118.115;97.094;77.225;67.32;53.38;44.307;40.433;37.046;32.943;29.822;27.499;24.986;23.041;21.383;19.524;17.047;15.179;13.654
GNI, at current prices (UVGN);National currency:;Cyprus;Mrd EURO-CYP;;27.71713;26.25229;24.2895;21.98969;20.35581;21.92293;20.88206;19.69474;18.2599;17.823;17.00568;17.80364;19.35941;20.37915;19.18309;18.62351;18.6979;13.43509;13.31729;12.63902;11.86943;12.0879;11.20133;10.62212;9.54144;9.07527;9.39183;8.02348;7.94543;7.62649;6.95183;6.25514;5.91715;5.12067;4.89057;4.3142;3.79545;3.39909;3.05188;2.83948;2.56382;2.18139;1.98726;1.7003;1.48188;1.22749;0.99175;0.83207;0.65489;0.51065;0.59595;0.64208;0.57618;0.50764;0.44061;0.40954;0.35343;0.32631;0.28414;0.26531;0.21145;0.22934;0.21936;0.19526;0.17737
GNI, at current prices (UVGN);National currency:;Latvia;Mrd EURO-LVL;;42.89614;40.29377;38.05686;33.65343;29.50363;30.18885;28.68087;26.91664;25.33506;24.45685;23.65596;22.69784;21.77082;19.7427;18.26952;20.32339;24.21674;22.02948;16.76998;13.52101;10.86779;9.52523;8.42072;7.49354;6.85999;6.21303;6.05394;5.4361;4.71212;4.0889;3.56315;2.56161;1.75726;0.25391;0.11071;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Lithuania;Mrd EURO-LTL;;74.07699;70.71508;64.61623;54.0161;48.33797;47.20499;44.10373;40.74774;37.50395;35.9984;36.14936;34.26556;32.36504;30.40119;27.85156;27.50475;31.62845;27.87622;23.56674;20.63054;17.79292;16.23711;15.02172;13.98546;13.11157;12.40779;12.72973;11.5004;9.61028;7.74774;-;3.52947;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Luxembourg;Mrd EURO-LUF;;60.18155;56.6965;53.9093;50.46983;44.73989;41.99539;42.97476;41.63218;37.24427;34.8423;37.62132;35.22249;35.73784;30.72527;28.81692;27.84314;30.57426;30.0867;25.97095;26.31149;24.82089;21.48089;21.23879;21.45399;20.54213;18.09566;16.96562;15.37211;14.17355;13.89394;12.98094;12.53462;11.56983;11.01256;9.88156;9.01063;7.97061;7.28881;6.92896;6.46477;6.0605;5.44273;4.97792;4.37274;4.06768;3.69213;3.34235;3.06166;2.9441;2.49235;2.59371;2.09255;1.71807;1.52363;1.48634;1.28194;1.11564;1.01804;0.99256;0.93266;0.88716;0.7806;0.73198;0.69219;0.68979
GNI, at current prices (UVGN);National currency:;Hungary;Mrd HUF;;73266.28;67951.82;61565.29;53392.28;47263.76;46407.27;41687.07;37685.73;35230.14;33291.55;31324.11;29469.05;27768.99;27156.21;26191.45;25366.39;25457.12;23790.44;22839.45;21177.86;19820.28;18059.3;16442.59;14504.99;12550.15;10882.87;9786.67;8304.55;6800.47;5591.53;4507.45;3679.2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Malta;Mrd EURO-MTL;;16.98458;15.92174;14.88878;13.52122;11.89308;13.01151;12.03323;10.76576;9.53459;9.44419;8.29559;7.55015;7.01737;6.76239;6.46509;5.92995;6.11026;5.50222;5.18351;5.00194;4.8764;4.76828;4.5495;4.31191;3.99723;3.88141;3.59233;3.44049;3.23553;3.10554;2.81145;2.61734;2.45885;2.29811;2.11894;1.89385;1.70309;1.55554;1.44849;1.38115;1.35888;1.3299;1.37846;1.28161;1.13352;0.90869;0.79038;0.6946;0.59533;0.49365;0.38634;0.33053;0.29646;0.28251;0.27392;0.23744;0.20685;0.18378;0.16956;0.15292;0.143;0.14005;0.14058;0.14273;0.13817
GNI, at current prices (UVGN);National currency:;Netherlands;Mrd EURO-NLG;;1018.508;960.352;907.391;837.156;770.495;796.516;771.07;729.662;691.147;682.978;664.784;655.752;645.696;648.178;633.516;601.202;615.908;612.254;580.374;541.374;521.423;505.987;486.974;469.499;449.304;417.515;387.215;367.706;344.573;327.621;308.81;291.904;281.712;271.319;255.76;245.246;231.236;222.581;218.125;211.521;207.116;195.781;188.197;182.161;173.925;162.274;151.509;141.088;130.275;113.621;103.872;91.545;79.293;70.642;62.616;56.015;49.449;44.784;40.722;37.508;33.634;28.591;26.263;24.523;23.146
GNI, at current prices (UVGN);National currency:;Austria;Mrd EURO-ATS;;497.2875;475.0095;448.0278;407.9743;384.4212;396.0323;381.5013;365.8985;357.581;340.8795;333.5852;324.7839;318.9748;311.1743;298.3718;287.9192;296.2122;283.6917;268.45;253.537;242.0143;231.2795;225.4193;217.5095;211.7463;200.6207;195.1531;187.8503;182.4382;175.9294;169.2159;161.3738;156.1746;147.3536;138.1736;128.4633;119.9754;113.9667;109.7473;104.5144;99.0093;94.3828;88.3887;82.1216;77.2348;71.9607;65.5782;62.0375;56.1671;50.9227;48.0421;42.1491;37.2137;32.5999;29.1808;26.0139;23.8006;22.1875;20.8841;19.1672;17.6313;16.1103;14.9506;14.0648;12.6866
GNI, at current prices (UVGN);National currency:;Poland;Mrd PLN;;3578.193;3315.418;2977.619;2528.383;2242.287;2199.171;2033.872;1907.275;1790.107;1735.477;1647.171;1591.098;1562.647;1508.866;1395.274;1330.525;1262.65;1147.346;1046.639;972.993;903.353;839.028;809.533;779.088;745.356;670.553;603.036;518.91;429.008;340.233;250.035;167.644;122.84;87.355;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Portugal;Mrd EURO-PTE;;257.8354;247.148;233.2339;211.8747;197.3982;208.8059;200.1732;191.3476;181.9596;174.8925;169.5132;168.2131;164.3117;173.2428;173.8961;169.5569;173.0947;170.4421;161.5381;156.4468;150.3355;144.6032;140.3959;133.4465;126.3331;119.2133;111.0285;102.1924;94.9056;89.7211;82.7265;76.5791;73.2403;64.8265;56.468;46.727;39.282;32.7398;27.4339;22.0416;17.8266;14.6417;11.4361;9.6256;8.1393;6.2819;4.9447;4.0131;3.1249;2.6299;2.2842;1.9285;1.6313;1.3835;1.1993;1.0673;0.9964;0.9225;0.8204;0.7697;0.6612;0.6077;0.5883;0.5235;0.5046
GNI, at current prices (UVGN);National currency:;Romania;Mrd RON;;1696.635;1533.822;1364.52;1163.275;1041.743;1043.381;933.571;845.132;753.006;704.103;665.996;625.372;585.229;554.474;525.234;527.135;531.39;416.044;331.201;278.339;234.322;187.346;150.669;116.499;80.198;54.407;36.553;25.247;11.271;7.54;5.203;2.094;0.63;0.23;0.09;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Slovenia;Mrd EURO-SIT;;65.70846;62.33229;58.18812;51.47148;46.70539;47.79091;45.19406;42.23612;39.41813;37.65433;37.28891;35.96649;35.68801;36.55549;35.8822;35.65368;36.93299;34.2673;31.07552;28.83998;27.24221;25.34059;23.34293;21.13043;18.80736;17.21195;15.32844;13.83022;12.17923;10.61337;8.26834;6.37397;4.50011;1.54558;0.85906;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Slovakia;Mrd EURO-SKK;;128.7601;120.3577;106.5453;97.2976;92.2805;92.1704;88.4595;83.144;79.1247;78.1724;75.4942;73.9454;72.4213;69.3105;67.3344;63.7561;67.4197;61.4158;54.7978;49.2005;44.4073;39.4811;37.238;34.3883;31.535;28.4616;26.7388;24.5115;22.2231;19.8775;16.8796;14.0022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Finland;Mrd EURO-FIM;;295.5905;285.3731;274.4694;255.407;242.071;241.072;234.4;226.414;218.508;213.464;208.968;205.16;201.977;198.756;190.577;184.004;194.591;187.619;174.47;165.374;159.875;150.855;148.936;144.575;135.592;125.646;118.153;109.15;99.78;95.668;86.843;80.95;80.665;83.678;88.405;83.843;75.437;66.446;61.541;57.128;52.293;46.636;41.801;37.289;33.139;28.616;24.623;22.22;20.313;17.908;15.5965;12.3768;10.1718;8.7318;7.9494;7.125;6.2451;5.4529;4.9786;4.6456;4.203;3.7294;3.4377;3.2137;2.8369
GNI, at current prices (UVGN);National currency:;Sweden;Mrd SEK;;6559.925;6386.7;6122.476;5607.954;5213.974;5197.771;4923.515;4705.363;4440.506;4294.479;4077.003;3908.524;3828.792;3804.034;3670.657;3419.525;3529.928;3419.729;3202.687;2970.998;2846.182;2749.105;2605.768;2505.643;2409.612;2260.887;2138.768;2021.915;1928.863;1876.665;1731.67;1876.665;1874.67;1893.235;1780.496;1625.216;1469.564;1345.704;1238.518;1126.759;1035.599;920.864;823.477;755.915;693.938;609.127;542.681;489.273;451.627;399.996;341.049;301.794;270.267;246.872;227.969;203.591;187.822;177.202;163.333;150.091;136.46;122.329;113.08;104.252;96.055
