Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Italy;785.824;760.9812;724.6285;672.8022;721.5226;706.9777;684.0541;667.2222;651.5832;638.3594;636.5553;642.568;651.4771;642.6246;634.8194;639.2773;617.3445;594.8453;569.23;545.6142;526.41;505.2862;482.8456;457.9404;440.1697;424.9045;426.4766;406.9275;381.0804;366.7209;358.5632;351.6769;335.6087;306.2938;273.7196;249.844;227.7025;209.9191;194.2784;173.9633;155.9511;135.749;116.5568;95.8482;77.8694;64.2158;55.4414;45.4587;37.0055;30.6854;24.5502;20.4253;18.331;15.9473;13.6379;12.3773;11.3831;10.2912;9.6228;9.0758;8.1479;6.697;5.7559;5.1785
Cyprus;11.71322;10.99833;10.4746;9.88473;10.26431;9.44147;8.80169;8.19685;7.89609;7.86996;8.34282;9.37561;9.51737;9.22378;8.92285;8.37927;7.63106;6.93096;6.38534;5.7158;5.36485;4.83821;4.48594;4.2096;3.90763;3.66663;3.49614;3.27471;3.09787;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Latvia;18.59661;17.4616;16.42672;15.21806;14.97079;13.90981;12.52565;11.6091;10.89371;10.09555;9.44924;8.75263;8.03855;7.71056;8.8406;11.75203;9.98656;7.07483;5.47593;4.23361;3.67155;3.21521;3.00116;2.83856;2.68395;2.51524;2.31523;2.08335;1.66799;1.3614;1.00601;0.54544;0.08876;0.0434;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lithuania;31.25699;29.41675;27.01281;23.97957;22.65702;20.38407;18.56173;17.01226;15.6445;14.60816;13.7362;12.9634;12.27743;11.46997;11.97825;14.35507;12.3259;10.2773;8.52002;7.31009;6.44304;5.81031;5.36529;5.22285;5.45377;5.41539;4.5364;3.69065;2.90195;2.01459;1.33143;0.37193;0.05497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luxembourg;39.51485;37.22899;34.63162;31.93116;31.24807;29.61424;27.76546;25.99445;25.05809;24.04154;22.98006;21.90433;21.10747;19.73589;19.02172;18.56726;17.25097;15.84229;14.61204;13.6481;12.87171;12.45955;11.63848;10.65604;9.55427;8.6838;8.21066;7.74312;7.34435;7.05953;6.60911;6.1375;5.60338;5.08495;4.63213;4.10544;3.82884;3.57063;3.30216;3.1103;2.88044;2.69934;2.52397;2.29829;2.0791;1.92307;1.8217;1.65107;1.481;1.29114;1.01099;0.8821;0.77469;0.69056;0.58207;0.53803;0.50571;0.494;0.46165;0.43345;0.36948;0.33934;0.31889;0.30273
Hungary;26401.59;24618.2;22215.68;20004.13;19716.36;18300.03;16861.71;15503.99;14594.67;13993.4;13254.8;12883.3;12401.25;11943.68;11893.49;12334.32;11744.39;11092.95;10425.29;9587.32;8700.79;7692.35;6907.15;5910.39;5019.21;4592.38;3901.4;3161.2;2627.87;2210.13;1900.99;1601.72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malta;7.271741;6.925468;6.53346;6.08491;5.98061;5.46432;4.98429;4.49849;4.09665;3.71673;3.45579;3.24602;3.07094;2.86922;2.74083;2.67697;2.51499;2.38544;2.23645;2.17144;2.13252;2.00817;1.94094;1.79739;1.72301;1.64524;1.55413;1.49447;1.38754;1.230992;1.147878;1.028302;0.948969;0.855238;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Netherlands;463.1984;441.5619;419.337;402.576;388.869;369.84;352.818;340.586;330.267;328.166;324.676;323.867;319.557;311.717;312.196;307.606;290.422;274.63;265.786;261.594;257.855;251.061;239.07;226.691;209.544;194.591;181.552;171.905;165.485;159.927;156.1296;151.832;143.3824;134.9859;127.0343;123.2209;119.8834;115.9224;111.1194;107.0502;106.5564;105.1716;102.0709;99.8207;93.9727;87.2763;80.4302;73.5543;66.1836;58.4837;50.3261;43.4215;38.7704;33.7369;29.4617;25.4294;23.059;21.128;18.7799;16.576;13.8898;12.4515;11.3316;10.3202
Austria;220.2493;212.5958;202.7812;192.2199;192.9178;185.1268;176.0861;170.0814;163.6609;158.7889;154.5092;150.3244;144.3182;138.8781;136.1941;134.9246;128.1633;122.0085;116.3927;112.7605;109.9886;107.5634;105.5878;103.3507;99.8396;96.2767;92.7919;91.1901;90.053;86.97;83.3629;79.9459;74.9125;69.092;64.1163;60.3426;58.0949;55.8705;52.7192;49.8254;47.3363;45.6878;43.774;40.6767;37.7188;35.4396;32.3913;29.3753;26.6699;23.7608;20.3931;17.4139;15.3254;13.261;12.1161;11.1107;10.4801;9.6806;8.7839;7.9768;7.2475;6.7278;6.178;5.5429
Poland;1211.071;1117.224;1014.736;941.864;898.147;834.006;766.253;711.744;668.849;644.355;616.316;604.013;578.733;546.305;516.203;496.737;437.647;390.813;364.681;345.16;331.408;325.698;328.273;307.956;285.125;258.743;220.873;177.604;137.577;99.906;71.595;56.266;35.261;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Portugal;112.2069;108.4124;103.0536;97.6251;97.0993;91.6331;86.0973;81.2135;78.4063;76.3511;76.2071;75.3134;81.5938;84.8367;83.6551;83.6769;81.0652;77.8954;75.7815;72.3617;69.8321;68.4224;65.3948;61.8204;57.0795;53.1069;48.5965;44.7602;41.662;38.2095;37.032;34.9;29.7472;24.9121;20.9135;17.2173;14.7841;12.5671;10.4765;8.7011;7.7538;6.5121;5.2522;4.2697;3.3548;2.8379;2.4238;2.0627;1.7756;1.3673;1.0403;0.879;0.7502;0.6522;0.5626;0.5049;0.4649;0.4035;0.3629;0.3235;0.2947;0.2691;0.253;0.2319
Romania;533.2562;492.388;448.4408;417.8534;411.0813;365.0058;318.3638;269.6075;229.0295;218.5767;202.4493;193.8014;185.2302;190.1993;181.625;195.7256;144.419;132.4908;112.9952;91.0411;73.6759;60.1717;48.68;31.8736;19.0171;14.0872;7.872;4.1266;2.7473;1.8258;0.8082;0.2727;0.107;0.0497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovenia;30.14792;28.12306;26.91202;25.22112;24.58262;22.8187;21.24603;19.966;18.93537;18.40799;18.07342;18.48689;18.9219;19.01854;18.78673;18.95337;17.20701;15.65043;14.61402;13.81656;12.75669;11.81476;10.75578;9.52845;8.4518;7.67508;7.05756;6.42776;5.74051;4.52623;3.63084;2.74993;0.92878;0.49276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovakia;50.56178;46.96867;42.85463;40.87955;40.21837;37.33467;34.42615;31.92716;30.37174;28.56245;27.39944;26.85237;26.06919;24.93164;24.02845;24.21916;22.24794;20.15689;18.33409;16.68041;15.81776;14.63199;13.5002;12.73687;11.49366;11.14184;10.26569;8.93443;7.75508;6.43777;5.54888;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Finland;126.627;122.3449;117.301;110.539;112.001;108.633;104.558;103.757;102.084;100.938;100.7;99.871;96.454;91.966;90.508;91.57;85.895;81.338;77.395;73.624;70.68;69.012;66.893;63.299;59.464;56.096;52.011;49.349;47.351;44.553;43.766;46.254;48.9;48.792;44.657;39.876;36.065;33.118;30.873;27.705;24.877;22.449;20.271;17.524;14.969;13.089;12.416;11.495;9.94;7.9347;6.2821;5.1533;4.402;3.8329;3.3842;3.0434;2.725;2.4888;2.2612;2.0209;1.7255;1.5482;1.3823;1.2409
Sweden;2825.64;2698.796;2570.282;2422.409;2394.671;2309.07;2185.563;2085.848;1987.35;1904.145;1832.358;1777.972;1709.358;1614.251;1564.886;1565.514;1489.922;1380.103;1315.97;1272.098;1231.869;1190.524;1150.794;1075.878;979.741;924.145;922.158;882.984;832.866;800.912;761.973;787.67;786.074;749.331;657.816;587.024;540.5;499.839;460.288;418.172;380.966;352.964;329.993;304.489;270.941;246.518;221.403;196.892;165.975;138.591;119.835;111.391;101.773;93.056;83.124;76.283;70.786;65.394;58.803;53.086;47.759;43.169;38.537;34.831
