Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Net primary income from the rest of the world (UBRA);National currency:;Croatia;Mrd EURO-HRK;;-0.436655;-0.349329;0.130143;0.213483;1.054184;-0.107126;-0.329078;-0.254971;-0.991786;0.093923;-0.75617;-0.923398;-1.473004;-1.282941;-1.363037;-1.499362;-1.283801;-0.878305;-0.921573;-0.783933;-0.524766;-0.977465;-0.444108;-0.508696;-0.426184;-0.454173;-0.134901;0.00051;-0.041915;-0.01356;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Italy;Mrd EURO-ITL;;46.87075;44.21357;53.6568;31.9293;20.7776;15.229;19.567;9.683;4.8689;-11.444;0.142;-2.7949;-1.9855;-4.1701;-3.4139;-0.9929;-14.9678;1.2463;6.1599;2.3464;-2.4027;-6.724;-6.0231;-3.9917;-4.7396;-2.2888;-6.2603;-5.0001;-10.1212;-11.993;-17.4336;-15.3295;-16.5382;-14.2407;-11.6242;-5.845;-4.0363;-3.8346;-4.481;-2.8843;-2.0895;-1.7667;-1.9096;-1.3663;0.3958;0.2136;-0.1761;-0.1813;-0.256;-0.1483;-0.2277;0.1205;0.2026;0.1679;0.1483;0.13428;0.10536;0.08522;0.09606;0.07179;0.03977;0.02789;0.02634;0.02841;0.03099
Net primary income from the rest of the world (UBRA);National currency:;Cyprus;Mrd EURO-CYP;;-1.506299;-1.708405;-2.246288;-2.02916;-1.53909;-1.25335;-0.79301;-0.61775;-0.75379;-0.12113;-0.47713;-0.23674;-0.13593;0.52108;-0.27802;-0.05198;-0.31168;-4.07649;-2.68273;-2.18329;-1.98701;-0.75739;-0.67571;-0.79477;-1.05355;-0.65629;0.33205;-0.34995;-0.03407;-0.05182;0.049208;0.062535;0.067661;0.076545;0.071078;0.059801;0.03981;0.041177;0.036051;0.044082;0.041348;0.037248;0.052112;0.046132;0.045449;0.03776;0.034514;0.032122;0.02375;0.024262;0.020332;0.018965;0.015548;0.01384;0.012644;0.011277;0.007347;0.007347;0.005126;0.008714;0.007518;0.007005;0.006322;0.005638;0.004442
Net primary income from the rest of the world (UBRA);National currency:;Latvia;Mrd EURO-LVL;;-0.060941;-0.045661;-0.040708;-0.04247;-0.00735;-0.45837;-0.47269;-0.06779;-0.03627;-0.11528;0.03016;-0.05117;-0.15364;-0.02114;0.18154;1.32338;-0.31117;-0.67436;-0.43;-0.14127;-0.22893;-0.04656;0.01435;0.02257;-0.0085;-0.0596;0.03929;0.04011;0.02991;0.02956;-0.00572;-0.001878;0.001579;-;0.001437;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Lithuania;Mrd EURO-LTL;;-2.804466;-2.711031;-2.468267;-2.16298;-1.43161;-1.70323;-1.4115;-1.52856;-1.38591;-1.3473;-0.43195;-0.77398;-1.04512;-0.91598;-0.18227;0.60774;-1.03162;-1.135;-0.48655;-0.34938;-0.42675;-0.41289;-0.16067;-0.19155;-0.23988;-0.30279;-0.29129;-0.22203;-0.10087;-0.01319;-;0.009957;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Luxembourg;Mrd EURO-LUF;;-25.81702;-24.85233;-23.65036;-21.8252;-20.0411;-20.3782;-17.1464;-16.5366;-18.9638;-19.3;-14.17;-13.872;-10.7884;-13.5982;-13.5858;-11.2076;-9.4353;-7.5552;-8.2041;-3.9695;-3.3685;-4.7464;-3.7723;-2.4259;-2.4439;-2.4521;-1.1654;-1.9771;-1.8636;-1.3455;0.39152;0.82841;0.9711;0.97809;0.81002;0.60694;0.61359;0.69061;0.58468;0.69331;0.885;0.776;0.734;0.59;0.521;0.436;0.354;0.33;0.288;0.188;0.112;0.059;0.045;0.04;0.03;0.037;0.04;0.035;0.017;0.005;0.002;0.005;0.005;0.002;0
Net primary income from the rest of the world (UBRA);National currency:;Hungary;Mrd HUF;;-2035.593;-1931.884;-1912.211;-1733.282;-1147.789;-1257.654;-1699.367;-1589.024;-976.523;-1673.659;-1480.595;-882.854;-1227.646;-1381.99;-1293.647;-1154.39;-1792.825;-1951.461;-1505.956;-1417.109;-1289.784;-1070.714;-991.272;-893.714;-773.905;-754.673;-656.151;-530.01;-321.832;-244.953;-152.536;-110.003;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Malta;Mrd EURO-MTL;;-1.598111;-1.498106;-1.400913;-1.1601;-1.16185;-1.0361;-0.9464;-1.19364;-1.03195;-0.55252;-0.45551;-0.3942;-0.34709;-0.16221;-0.35071;-0.32969;-0.09576;-0.28806;-0.21949;-0.15732;-0.01915;-0.01924;0.0339;0.02607;-0.15612;0.05185;-0.03684;0.02983;0.02584;0.04588;-;-;-;-;-;0.083392;0.065921;0.071512;0.065455;0.09038;0.105986;0.088749;0.121127;0.09597;0.071279;0.030282;0.039366;0.044491;0.042162;0.042628;0.029117;0.01747;0.019334;0.01747;0.017004;0.015141;0.01351;0.011181;0.010249;0.010016;0.00955;0.009317;0.008852;0.007454;0.00792
Net primary income from the rest of the world (UBRA);National currency:;Netherlands;Mrd EURO-NLG;;-17.0903;-19.27943;-19.57689;-19.2;-26.035;-16.539;-2.917;-8.484;-17.19;-7.03;-6.776;-4.711;-7.27;-2.181;-5.671;-23.64;-31.29;-6.916;-4.172;-9.509;-7.863;-6.823;-14.163;-12.382;-2.703;-1.944;-7.08;-1.34;-0.052;-1.926;1.96;0.009;-1.914;-0.818;-1.807;1.626;1.059;1.824;-0.604;-0.814;1.752;1.047;0.08;0.097;1.371;2.43;0.726;1.352;1.438;0.563;2.05;2.054;1.47;1.118;1.42;1.471;0.25865;0.38934;0.27272;0.3426;0.34805;0.30176;0.20375;0.2945;0.21101
Net primary income from the rest of the world (UBRA);National currency:;Austria;Mrd EURO-ATS;;-4.402835;-3.213038;-2.757199;1.8256;3.3787;-1.1372;-3.7728;-3.4634;-0.027;-3.3897;0.4391;0.8738;0.3218;1.0456;2.4752;-0.1248;2.4503;-0.2863;0.6255;-0.538;-0.334;-0.583;-1.3159;-3.0156;-1.8602;-3.2299;-1.1935;-0.8735;-0.1027;-0.6793;-1.71543;-1.44132;-1.4406;-1.82862;-0.99338;-1.02154;-1.07303;-1.44752;-1.41223;-1.03664;-1.00478;-0.86745;-1.00265;-1.05042;-0.81884;-0.71019;-0.6715;-0.59911;-0.49669;-0.263076;-0.215838;-0.245634;-0.196217;-0.138078;-0.143165;-0.121364;-0.135171;-0.093748;-0.067586;-0.064679;-0.058865;-0.047237;-0.040697;-0.037063;-0.023982
Net primary income from the rest of the world (UBRA);National currency:;Poland;Mrd PLN;;-104.8073;-102.0159;-100.6582;-95.5651;-84.369;-94.028;-87.683;-82.56;-73.38;-65.635;-64.073;-55.626;-60.795;-56.385;-51.57;-41.5;-22.921;-40.162;-22.792;-17.537;-29.738;-8.124;-2.681;-2.46;-3.127;-3.977;-4.067;-3.672;-2.889;-4.827;-2.2136;-6.3399;-5.4427;-3.0137;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Portugal;Mrd EURO-PTE;;-3.768675;-3.667079;-3.529848;-2.59605;-3.12063;-5.56873;-5.01095;-4.59957;-4.53022;-4.82067;-3.54051;-2.27916;-3.98388;-2.85334;-5.71472;-5.85956;-6.00813;-5.04133;-4.72234;-2.10594;-1.91294;-1.4647;-2.15838;-2.32849;-2.08138;-0.39001;-0.32485;-0.13852;0.55404;0.69253;-0.390279;-0.113821;-0.094638;-0.366183;-0.377917;-0.58133;-0.730398;-0.761378;-0.95762;-1.142672;-1.04413;-0.740101;-0.600243;-0.347902;-0.176779;-0.118985;-0.089934;-0.059029;-0.043733;-0.021042;-0.006901;-0.007054;-0.005835;-0.004253;-0.000272;0.003578;0.004763;0.005441;0.002117;0.002894;0.002083;0.000704;0.000776;0.000162;0.001668
Net primary income from the rest of the world (UBRA);National currency:;Romania;Mrd RON;;-25.58776;-26.3053;-28.47893;-18.64247;-17.1834;-15.5924;-18.1578;-12.7639;-10.6463;-7.8268;-3.708;-9.5955;-6.5701;-4.4157;-3.2801;-3.7596;-8.4451;-9.6473;-11.5621;-8.5232;-10.3661;-4.5714;-1.6028;-0.892;-0.6754;-0.7193;-0.4552;-0.2533;-0.1171;-0.0703;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Slovenia;Mrd EURO-SIT;;-1.050212;-1.000631;-0.931442;-0.73659;-0.31526;-0.74221;-0.68229;-0.77522;-1.02509;-1.19831;-0.34538;-0.48784;-0.56526;-0.50308;-0.48171;-0.60125;-0.99271;-0.80616;-0.39482;-0.27358;-0.38598;-0.27269;-0.20568;-0.01727;-0.04576;-0.01463;-0.02333;-0.00631;0.03194;0.05256;0.057945;0.016959;-0.007924;-0.001824;-0.011676;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Slovakia;Mrd EURO-SKK;;-1.339114;-1.324572;-1.373793;-1.22535;-1.13327;-2.26711;-1.41522;-1.52591;-2.14046;-1.95367;-0.86028;-0.54744;-1.22793;-2.47533;-1.43053;-0.33938;-1.1708;-1.74758;-1.5636;-1.2852;-1.76788;-1.99838;-0.09152;0.02282;-0.12603;-0.12199;0.05056;0.05534;0.19026;0.10974;-0.067384;-0.062836;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Finland;Mrd EURO-FIM;;3.817645;3.897939;3.575854;4.04;4.028;1.214;0.938;0.113;0.99;2.079;2.071;0.839;0.94;0.758;2.434;2.257;0.326;0.547;1.573;0.687;1.117;-0.894;0.45;-0.053;-0.85;-1.27;-2.321;-1.657;-2.303;-2.881;-3.906;-4.758;-4.117;-3.221;-2.554;-2.048;-1.286;-1.27;-1.152;-1.117;-1.167;-1.116;-1.002;-0.778;-0.518;-0.44;-0.428;-0.394;-0.291;-0.237;-0.1549;-0.1221;-0.09704;-0.074;-0.06358;-0.062061;-0.051634;-0.039692;-0.029097;-0.025396;-0.020687;-0.015473;-0.010764;-0.007064;-0.004541
Net primary income from the rest of the world (UBRA);National currency:;Sweden;Mrd SEK;;149.9514;151.3881;159.3959;156.141;175.436;148.152;95.209;80.269;25.475;34.009;84.273;85.853;85.706;76.129;97.076;78.358;117.675;99.451;81.019;39.913;15.988;45.554;7.432;1.912;1.461;-3.607;-14.137;-25.354;-27.571;-30.108;-35.553;-30.108;-50.969;-31.817;-20.088;-11.178;-8.4;-6.438;-9.855;-13.611;-12.423;-11.329;-8.139;-4.31;-2.053;-4.116;-4.293;-2.136;-0.117;0.781;0.766;1.006;0.314;0.29;0.116;-0.071;0.068;0.168;0.289;0.315;0.395;0.272;0.284;0.209;0.226
