Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Croatia;(National currency: 2015 = 100);;124.1823142;121.276923;114.0859626;108.1374799;105.9808166;105.2084505;103.1452024;101.0994538;99.9360255;100;99.9190545;99.7685602;99.0342765;97.6525874;96.050589;95.1672115;92.414176;87.5890677;84.0297659;80.8573306;78.3804733;75.6162397;72.4738831;69.7533081;66.8944307;64.0550214;61.9494107;57.3101764;53.6177494;51.7287029;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Italy;(National currency: 2015 = 100);;116.0714557;113.1678426;109.5072496;106.1698614;105.6009968;103.9228817;102.9570272;101.8689325;101.13435;100;99.0767399;98.1801186;97.0661773;95.5871558;94.0752009;93.6664773;92.119932;89.9602531;87.7840901;85.9576163;84.2634509;82.0719783;79.5673509;77.0446458;74.7762398;73.4595523;72.3481911;70.6507216;68.882256;65.9112262;62.6579203;60.4547413;58.1588812;55.6343849;51.6472985;47.6145391;44.7411871;41.8358172;39.363048;36.5008234;33.3523409;30.0334944;26.0082093;22.0614542;18.5075978;15.2775358;13.1776557;11.5163874;9.6840532;8.2249116;7.0047056;5.8185043;5.1496323;4.8575539;4.5195388;4.2432098;4.0899059;4.0379761;3.9171763;3.8248794;3.7015189;3.4889926;3.2152108;3.052151;2.934149
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Cyprus;(National currency: 2015 = 100);;116.9921206;114.0215796;109.3037804;104.4802511;101.5642214;102.8072087;101.4647843;100.4562768;99.425269;100;100.7599588;102.1267309;103.0934317;101.3913297;99.7786642;97.9371079;97.6801355;93.264225;89.5580985;86.8768932;85.1571018;82.9108707;78.6722537;78.4397505;75.6699968;73.6495088;71.9922634;70.6043849;69.059614;67.2826546;67.6207646;64.2241416;61.0816629;57.7524761;55.5913925;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Latvia;(National currency: 2015 = 100);;146.1170887;140.822609;132.5481217;119.4409342;111.7509052;110.6765347;107.8772607;103.8367099;100.8633565;100;99.8844128;98.0069896;96.3513049;92.9726607;87.2790457;87.5949886;96.9546606;86.8285075;72.3193255;64.321838;57.8438609;54.0282464;51.4466358;48.9628691;47.86084;46.189594;45.5106829;43.4162854;41.0024213;36.4678963;31.6891837;23.2606405;14.1121339;1.3671562;0.5205597;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Lithuania;(National currency: 2015 = 100);;158.5162293;154.9591734;142.2509634;122.0516484;114.5938068;112.5860396;109.6213932;105.8865872;101.5762529;100;99.9363468;99.1101747;97.8563098;95.2519081;90.414735;88.1806731;91.1862507;83.1163689;76.5664288;71.7346832;67.1138178;65.3609909;65.8970484;65.6877072;65.8997623;65.0550204;65.883147;63.7466563;57.1982311;48.0695513;32.8269276;20.3082544;4.999467;0.4793408;0.1461826;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Luxembourg;(National currency: 2015 = 100);;131.7306266;127.9745847;122.8729999;116.2599326;109.4919334;104.5822918;103.1442432;101.0115432;98.8923883;100;97.8289848;95.1674515;93.0496141;90.1067596;87.1022032;83.2331535;82.5147285;77.3986882;75.9611488;71.3553972;68.0759589;66.0179558;64.6056694;63.6732544;63.1741376;60.3910179;57.6444918;58.8404412;57.3384237;55.2480908;53.9891724;52.1419345;49.2033128;47.4344514;46.585193;45.4409034;43.6844954;42.5044345;42.4778925;42.5134893;41.2837136;39.5409517;37.0168833;33.4053083;31.1668989;28.8792685;27.1538004;25.8287876;25.5295291;22.7504108;22.9466739;19.6157764;17.482516;16.5258655;16.6615221;14.4769523;13.7488056;13.0924323;13.0365973;12.5434611;12.20202;11.5295905;11.1782055;10.7595664;11.1672639
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Hungary;(National currency: 2015 = 100);;165.1826576;157.3168167;143.0128882;130.9664152;123.2013734;115.7854248;110.5120577;105.4033882;101.320472;100;97.2992246;93.8341852;91.2601632;88.6944443;87.0161459;84.8668335;81.4468286;77.7118875;73.6999027;71.0999987;69.2799919;65.9237663;62.5264266;57.8458281;52.0915065;47.5359115;43.9657744;38.6453735;32.134639;26.3549291;20.797813;17.3973583;14.3415227;11.9203801;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Malta;(National currency: 2015 = 100);;126.5778251;123.0852009;118.277998;112.6292185;110.6260249;108.9726961;106.4408682;104.1609203;101.9970507;100;95.9507303;93.7543518;91.6678803;89.7418784;88.7443915;86.0212867;84.3173725;81.6790943;79.8551581;78.1666646;76.681077;75.0941123;73.714574;71.7586035;68.7234532;67.4296941;66.4953318;64.6315667;63.7760371;63.2192906;60.3013419;58.2627742;56.6493285;54.7028217;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Netherlands;(National currency: 2015 = 100);;127.2171713;121.8524379;116.0495708;112.1937059;109.4307751;107.3602545;104.2001427;101.7211059;100.4546673;100;99.2331976;98.9825878;97.7316354;96.3384761;96.1522739;95.256469;95.0467005;92.9040299;91.0179514;88.7450945;87.0146007;85.9793747;84.1530188;81.0952869;77.8378844;75.2635923;74.3099205;72.7952452;70.9209525;70.1908032;68.7709422;67.3810509;66.3215587;64.7066483;62.7506775;61.7869555;60.9651037;60.4694741;61.1096788;60.9805834;60.4570945;59.0937377;58.2841308;55.7083675;52.3623635;49.2936515;47.048918;44.666036;42.3999069;38.9014115;35.9880403;31.877259;29.3851088;27.1677778;24.9726719;23.6383137;22.2136912;21.3191765;20.4584472;19.3033793;18.1908574;16.7385757;15.9877061;15.4412751;15.0737315
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Austria;(National currency: 2015 = 100);;129.4177635;124.7697027;117.9679302;111.2259182;109.1055528;106.3836192;104.7632754;102.8724141;101.8482947;100;97.7507755;95.6692918;94.1405546;92.2456123;90.5848209;89.8008105;88.1356944;86.4445602;84.5661962;82.9957823;80.9416499;79.5575718;78.5307411;77.6412859;76.1584015;75.1335492;74.941437;74.6117239;73.6782241;72.9587014;71.6588701;69.8940837;68.0187511;65.7318746;63.4221223;61.5750713;59.8020809;58.9027167;57.501439;55.8532144;54.2459074;51.6874944;49.952746;47.4136051;44.4294313;42.0810442;40.4180924;38.1327878;36.2483414;34.3172724;32.2360349;29.4391829;27.2461984;25.3217617;23.8420679;22.7625834;22.1569738;21.5455259;20.8677912;20.2359516;19.1457108;18.5422028;17.9053029;17.2466945;16.3699797
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Poland;(National currency: 2015 = 100);;152.0946096;144.7287938;131.2416813;116.3456972;110.7500937;106.2299179;103.1033212;101.8509206;100.0872764;100;98.7000776;98.2427952;98.0274631;95.8945311;92.9966947;91.5652093;88.2253916;84.9183824;81.8750167;80.4839126;78.4755694;74.7980286;74.2220391;72.8737148;70.6690057;66.5913742;62.7247039;56.4976723;49.7047501;42.1396889;32.9272146;23.9934765;18.3657008;13.2484316;8.5332838;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Portugal;(National currency: 2015 = 100);;123.5563216;120.524281;114.5878593;110.6349005;109.1086963;106.9656664;105.1265292;103.2545268;101.716662;100;98.0200319;97.3342175;95.193641;95.5646198;95.8186575;95.2071492;94.1730006;92.5644856;89.8978095;87.1233258;84.3132501;82.3374668;79.6091378;76.4078171;73.6702496;71.2338596;68.9111825;66.372416;63.890152;62.3982219;59.0643611;55.2875641;52.5020325;48.1613571;43.4162563;39.0007311;35.2068813;31.0701365;28.3821567;23.9951536;19.8661633;16.0092842;12.6519731;10.6892829;9.0904496;7.3275853;6.1722187;5.2976956;4.3698336;3.7367488;3.0629789;2.6633642;2.3635261;2.2112612;2.1110653;2.0297723;1.937839;1.8827692;1.7505665;1.7148796;1.6127593;1.5756327;1.5835796;1.5594466;1.5515675
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Romania;(National currency: 2015 = 100);;177.0214711;163.9185389;148.9803954;133.7060507;126.8358421;121.8294925;114.0668708;107.3951868;102.6212814;100;96.8384665;95.2101079;93.9051206;90.4646608;87.0045454;82.1492844;78.9238264;68.028651;58.7384463;53.1057435;47.4128816;41.0655488;33.3450782;27.1729376;19.6967772;13.7565768;9.2003394;6.2108016;2.6390932;1.8326746;1.3548157;0.5668262;0.1731643;0.0577766;0.0195472;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Slovenia;(National currency: 2015 = 100);;130.3721377;125.7463976;118.3497033;111.0448514;108.223391;106.8773452;104.5132446;102.350977;100.8741229;100;99.0049597;98.5555021;97.0031019;96.5406579;95.5469554;96.5406661;93.3664859;89.3753466;85.7914111;83.9273061;82.6702474;79.9820883;75.7116025;70.3759315;64.7580237;61.3440468;57.5830798;53.60154;49.4338661;44.3541982;36.0624441;29.417301;21.4600893;6.9635408;3.5723695;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Slovakia;(National currency: 2015 = 100);;139.6669072;133.0837638;118.6409751;110.3749179;107.8055746;105.3090545;102.7462651;100.6972889;99.4877066;100;100.2169706;100.4105545;99.9016865;98.658227;97.0311723;96.517026;97.650977;94.9375992;93.8902147;91.2449466;88.9820437;84.1527351;79.8979394;76.8708949;73.1257641;66.7878963;62.2933814;59.410032;56.6950524;54.2336783;49.3522033;43.501847;37.6390709;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Finland;(National currency: 2015 = 100);;121.2816761;118.684216;114.4965992;108.7166379;106.0150443;104.46777;102.9274056;100.9074046;100.0874255;100;98.4089763;96.8290903;94.4137095;91.6869646;89.3430206;89.0554333;87.5032093;84.9238703;82.6483298;81.8943097;81.1405616;80.6544882;80.5015966;79.7485595;77.1984022;75.9543972;75.2567402;72.9953887;71.5077264;71.5637436;68.6784828;67.4340475;66.2638926;65.6808133;64.7026604;61.5071181;57.7368231;53.6173245;51.4146766;49.0831409;46.6496217;43.0178821;39.7612634;36.4608975;32.6611612;29.7732147;27.5025152;25.5966286;23.3871734;20.6913601;18.5628388;15.2065453;13.3657897;12.3478328;11.5009002;11.0746939;10.6333886;9.4886763;8.838027;8.439349;8.0356929;7.4976771;7.1306883;6.8581494;6.510379
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Sweden;(National currency: 2015 = 100);;130.3178295;127.8236676;121.5596508;114.3593444;111.0542014;108.8830239;106.1787825;103.6933358;101.5256099;100;97.9228792;96.2438747;95.3595147;94.4140318;93.397531;92.5208355;90.388653;87.5560101;85.1497685;83.6791792;83.1087349;82.8328833;81.448071;80.2067596;78.2630781;77.1020975;76.4159854;75.7997639;74.6607999;73.9149547;71.2011984;69.4049684;67.602296;66.7115064;61.4976125;56.1812702;52.1246563;48.8942048;46.7009336;43.8640393;41.181645;38.1954418;34.691113;32.0668983;29.2847233;26.4797992;24.5211555;22.4116423;20.2571347;18.0908746;15.8203343;14.4286264;13.4730927;12.5897065;11.7396397;11.1771711;10.8178239;10.5662142;10.0605059;9.4352789;8.8959156;8.5238202;8.2940899;7.9801783;7.7685926
