Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Cyprus;50.231;49.734;49.29;48.86;49.01;48.41;47.18;45.93;44.27;44.02;44.69;45.7;48.74;50.76;57.19;60.09;66.89;74.49;79.56;79.75;77.53;72.82;73.27;73.03;71.75;70.72;70.53;71.42;72.05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Latvia;112.739;112.29;111.62;113.27;105.51;105.07;113.47;115.84;113.52;103.58;105.55;101.38;99.24;99.22;106.19;110.51;119.66;123.09;114.39;126.36;127.17;136.04;143.36;140.36;145.26;147.91;148.45;142.13;141.34;341.971;309.834;144.563;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lithuania;160.301;159.429;158.89;156.51;161.98;160.37;162.66;167.92;163.8;159.66;152.19;141.01;132.75;135.69;157.78;166.6;214.61;245.93;249.33;263.09;292.67;281.34;267.07;274.59;291.65;303.14;353.38;343.7;277.35;173.122;142.348;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luxembourg;30.144;29.212;28.5;27.98;27.16;26.43;25.85;25.32;24.66;24.08;23.56;23.04;22.61;22.01;21.6;21.26;20.66;20.27;20.34;19.88;19.36;19.04;18.96;18.22;18.22;18.1;18.02;17.81;17.43;17.043;16.752;16.559;16.268;16.462;16.752;17.043;17.236;17.527;17.817;18.796;18.992;19.188;19.579;20.95;21.537;22.516;23.006;23.593;24.279;25.062;25.747;26.432;26.922;27.02;27.607;28.292;29.271;30.348;31.621;32.698;33.873;35.145;36.222;37.005
Hungary;392.861;392.861;398.36;377.48;365.26;345.37;324.31;307.19;295.65;291.23;285.92;331.74;327.25;316.92;315.97;383.94;363.86;376.05;383.16;427.4;413.7;422.33;428;444.7;468.09;429.89;444.15;444.04;421.34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malta;35.273;34.581;33.87;33.92;32.27;30.03;27.41;25.56;24.17;23.33;22.8;21.82;20.55;20.4;20.4;19.72;19.15;18.49;18.36;17.92;17.66;17.18;16.72;17.32;16.99;16.97;17.1;17.43;17.55;17.27;17.55;17.873;17.873;17.108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Netherlands;1684.702;1669.675;1645;1631;1589;1573;1542;1518;1493;1480;1447;1437;1411;1382;1380;1384;1375;1330;1283;1262;1245;1259;1253;1262;1293;1311;1347;1324;1315;1288.493;1257.375;1228.563;1204.36;1193.988;1184.768;1168.633;1160.565;1136.363;1113.313;1094.873;1081.043;1071.823;1064.908;1052.23;1029.181;1013.046;1015.351;1026.876;1028.028;1029.181;1025.723;1025.723;1018.808;1013.046;1014.198;1027.971;1042.996;1048.005;1056.769;1070.542;1078.055;1086.82;1095.584;1104.349
Austria;563.499;562.374;560.86;546.92;539.96;542.14;550.21;550.04;550.43;565.42;557.73;563.82;571.99;572.74;572.45;569.77;559.52;555.92;544.5;536.72;527.72;520.31;516.95;511.3;514.54;513.76;510.79;512.56;494.73;509.815;517.816;527.005;528.432;536.485;532.183;536.892;535.505;543.259;549.772;554.535;559.516;565.309;574.181;584.609;587.258;591.631;596.901;605.134;619.212;625.002;658.835;696.642;737.741;769.644;791.416;812.1;822.986;853.467;907.897;952.53;974.302;990.631;1008.049;1026.555
Poland;3242.725;3252.482;3259;3354.1;3264.7;3314.9;3315.5;3326.1;3394.9;3359.1;3363.3;3419.9;3503.5;3493.9;3571.3;3580.5;3563.5;3556.5;3623.3;3683.3;3715.3;3886.8;3988.2;3981.8;3985.05;4180.802;4316.054;4437.556;4410.555;4552.119;4660.55;4607.339;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Portugal;702.211;695.948;689.33;660.83;692.66;701.71;690.73;682.25;699.42;725.96;739.02;786.05;791.36;805.14;850.02;889.32;895.01;919.25;937.65;962;1011.98;1017.04;1039.33;1013.25;991.38;1001.88;990.19;968.11;936.67;935.263;921.716;963.912;991.006;953.696;936.596;934.523;929.711;895.067;961.694;922.184;908.715;949.123;1029.039;1026.345;1077.528;1053.284;1111.65;1070.173;1047.176;1055.965;1074.526;1090.213;1091.774;1082.904;1081.672;1091.774;1101.876;1111.814;1117.317;1118.056;1120.109;1120.766;1123.394;1125.119
Romania;987.483;1007.636;1038.8;1894.1;1984;2076.3;2166.8;2143.5;2358.3;2643.1;2672;2738.6;2693.69;2923.75;2860.82;2964.03;3051.43;3017.27;3080.94;2978;3669.3;3436.3;4871;4889.8;4884.5;4762.7;4642.2;4520.4;4865.3;5381.725;5192.073;5409.404;4663.362;4147.36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovenia;207.592;205.435;203.3;198.89;197.66;194.39;189.67;186.98;186.53;184.34;184.86;174.73;173.33;173.44;173.15;167.36;165.07;161.58;159.49;162.29;163.84;167.74;163.74;166.89;170.11;167.79;169.43;168.91;176.79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovakia;343.957;341.871;330.79;323.59;330.21;322.46;322.5;323.25;324.28;327.63;337.64;345.26;354.12;361.12;365.58;347.45;315.08;297.94;286.38;272.71;235.45;217.42;208.67;202.22;201.37;192.08;179.24;171.19;166.32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Finland;310.777;310.777;307.7;292.2;301.9;296.3;290.8;306.3;310.9;306.3;301.7;308.3;304.1;295.4;301;293.2;287.7;284;276;275.1;276.2;276.9;278.6;282.3;286.4;289.2;302.6;299.5;295.7;293.9;303;316.9;326.5;340.9;342.9;349.6;371.7;369.7;379.4;387.7;397.4;416.6;421.1;412.2;387.6;387.3;397.7;423.9;434.1;448.6;475.2;493.1;510.5;526.6;542.488;571.179;615.872;658.279;686.397;694.97;727.89;728.233;781.156;788.128
Sweden;178.798;177.732;177.2;195.2;195;200.6;203.9;209;225.1;231.1;235.8;237.3;243;253.5;247.5;244.6;256.4;252.1;245.7;246.3;240.3;259.1;267.7;277.9;280.1;275.1;275.2;276.7;281.1;277.1;273.7;248.962;242.202;244.216;246.229;238.894;240.476;248.962;252.845;260.756;267.156;273.772;268.163;268.45;269.213;266.925;263.875;268.45;277.602;285.229;291.33;298.956;313.446;327.174;366.808;381.573;376.133;383.905;407.996;426.647;453.07;479.492;505.915;532.338
