Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Croatia;2547.631;2568.176;2588.887;2609.766;2636.385;2667.8;2711.12;2755.406;2791.716;2822.803;2844.473;2858.961;2869.875;2874.432;2874.702;2874.929;2877.018;2877.632;2876.716;2876.316;2875.105;2877.334;2879.736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Italy;37300.638;37451.104;37588.351;37856.491;38153.207;38505.502;38818.873;38946.125;39103.677;39256.505;39008.326;38697.614;38769.683;38802.412;38739.1;38633.609;38430.037;38321.154;38365.894;38354.786;38236.145;38194.39;38285.347;38405.022;38533.35;38658.912;38769.072;38874.532;39005.899;39123.11;39187.127;39226.824;39089.047;38881.546;38761.222;38630.526;38502.058;38364.549;38234.605;38000.991;37615.546;37199.777;36792.743;36444.225;36152.926;35898.199;35697.322;35511.339;35326.091;35160.659;35029.203;34898.574;34795.95;34733.45;34665.7;34588.2;34501.45;34400.45;34255.3;34068;33829.6;33555.75;33288.8;33093
Cyprus;621.992;614.982;607.689;602.867;597.158;590.155;584.589;581.496;582.311;591.738;604.518;609.488;600.629;583.744;566.22;547.8;530.011;515.294;504.026;494.018;484.565;475.694;467.408;459.46;451.51;443.266;434.909;426.429;417.479;408.158;398.608;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Latvia;1172.189;1181.046;1191.772;1203.811;1218.492;1233.071;1249.426;1270.366;1292.706;1314.385;1338.597;1362.415;1386.014;1417.478;1454.406;1485.921;1504.936;1518.181;1532.09;1546.378;1560.004;1570.503;1582.327;1594.923;1599.954;1600.587;1606.493;1617.558;1633.061;1656.019;1686.333;1725.946;1761.158;1777.191;1781.047;1775.309;1760.678;1744.147;1729.458;1716.362;1705.047;1693.005;1680.641;1672.166;1667.374;1660.891;1650.119;1638.464;1626.488;1612.705;1597.13;1584.115;1574.925;1565.078;-;-;-;-;-;-;-;-;-;-
Lithuania;1786.649;1809.448;1818.541;1815.817;1817.662;1827.811;1855.626;1895.934;1932.484;1959.665;1981.888;2004.689;2034.555;2089.953;2140.737;2161.764;2178.645;2198.566;2229.708;2263.168;2284.871;2296.346;2307.117;2317.443;2324.326;2336.092;2352.228;2371.038;2391.063;2410.836;2430.069;2448.144;2458.024;2460.189;2456.258;2440.313;2416.389;2390.545;2363.966;2337.601;2309.24;2279.248;2251.54;2227.746;2209.962;2189.1;2161.283;2131.725;2100.674;2070.461;2043.746;2022.417;2003.444;1976.497;-;-;-;-;-;-;-;-;-;-
Luxembourg;462.743;454.561;446.524;437.921;431.102;422.817;414.644;405.007;394.386;384.561;375.251;366.183;356.165;346.811;339.462;332.151;325.186;319.331;313.511;308.302;303.557;299.566;296.56;292.275;287.733;284.379;281.516;278.845;276.163;273.637;271.374;269.126;266.803;264.341;261.852;260.073;258.635;256.707;255.046;253.667;251.877;250.058;248.293;246.123;245.504;245.45;244.191;242.851;240.464;236.259;231.501;227.827;224.114;204.323;220.797;219.797;219.797;219.797;219.097;217.897;216.897;215.997;214.497;213.697
Hungary;6196.402;6246.373;6296.747;6371.415;6433.507;6482.774;6525.48;6577.964;6636.806;6691.945;6747.998;6795.99;6836.549;6865.681;6886.037;6905.397;6922.045;6931.906;6936.339;6941.894;6946.482;6956.127;6963.073;6962.322;6965.443;6974.771;6983.153;6985.252;6985.569;6982.592;6972.031;6953.004;6924.825;6889.916;6932.421;6998.345;7009.691;7026.741;7043.773;7051.457;7028.299;6982.843;6944.719;6923.764;6952.32;6998.901;7027.824;7051.669;7066.053;7075.996;7078.051;7069.406;7042.664;6992.066;6925.37;6862.437;6818.085;6779.391;6736.916;6694.153;6651.012;6610.581;6578.945;6553.884
Malta;367.634;360.425;353.012;349.863;342.116;326.915;314.295;305.953;300.163;294.261;290.121;288.003;287.41;288.278;288.586;286.872;283.81;281.005;278.987;276.45;273.407;270.461;267.416;261.278;255.571;253.253;250.717;249.887;249.093;246.175;242.914;239.88;236.971;234.074;231.68;229.495;227.502;225.953;223.367;220.659;218.937;217.189;215.428;213.35;210.503;207.706;204.498;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Netherlands;11356.385;11332.586;11308.838;11297.54;11258.636;11203.842;11159.712;11117.06;11080.007;11063.083;11068.75;11097.314;11135.55;11138.764;11107.332;11072.881;11042.937;11025.096;11013.725;10999.728;10976.601;10935.176;10871.679;10800.501;10739.673;10687.461;10641.729;10603.556;10568.688;10535.003;10490.211;10433.567;10371.505;10305.276;10245.363;10187.409;10110.885;10018.802;9922.945;9814.992;9702.212;9596.175;9488.193;9361.963;9223.978;9095.217;8977.09;8860.412;8728.338;8596.711;8484.733;8381.05;8271.843;8155.655;8044.699;7943.639;7854.455;7757.862;7644.18;7526.016;7405.996;7272.1;7121.008;7009.168
Austria;5922.274;5924.76;5927.82;5927.633;5917.951;5906.898;5892.941;5866.132;5811.821;5753.634;5718.762;5696.435;5675.395;5648.125;5628.928;5615.759;5597.915;5586.595;5577.247;5561.109;5531.17;5489.577;5446.2;5410.26;5383.258;5361.372;5347.247;5335.962;5329.994;5329.894;5319.524;5284.258;5233.254;5185.742;5148.388;5129.048;5126.014;5120.848;5107.369;5080.107;5031.471;4977.651;4913.282;4845.106;4800.849;4771.363;4740.528;4706.563;4691.112;4692.908;4675.151;4639.368;4610.443;4596.768;4597.53;4608.377;4615.087;4613.493;4614.603;4618.941;4620.296;4615.138;4617.108;4632.573
Poland;24385.196;24581.851;24792.588;25038.57;25306.149;25562.757;25824.764;26077.933;26314.998;26535.105;26741.067;26914.292;27031.084;27060.239;27102.001;27121.768;27034.998;26939.333;26835.191;26718.722;26592.855;26459.349;26312.917;26135.518;26124.354;26091.588;25869.596;25681.961;25517.576;25353.129;25188.47;25025.368;24858.808;24708.014;24517.676;24440.654;24338.663;24229.343;24117.568;23998.19;23837.492;23647.738;23454.962;23260.584;23105.954;23033.144;22890.281;22730.112;22523.448;22279.102;21985.937;21668.901;21349.347;21001.613;20881.63;20536.431;20140.808;19801.688;19505.818;19131.421;18693.445;18357.215;18082.372;17899.907
Portugal;6618.85;6612.238;6612.238;6612.238;6621.663;6639.341;6672.187;6715.095;6759.544;6807.509;6870.043;6933.167;6981.489;7013.108;7029.408;7036.435;7033.532;7023.147;7016.927;7016.878;7015.437;7002.679;6978.257;6939.317;6894.301;6855.855;6819.858;6784.196;6748.61;6711.345;6677.977;6649.603;6628.021;6606.852;6581.398;6557.225;6530.461;6499.822;6465.266;6417.125;6355.808;6292.15;6224.997;6142.103;6049.32;5963;5884.53;5815.355;5662.28;5449.97;5349.27;5333.69;5343.034;5368.574;5420.645;5483.195;5522.655;5575.9;5646.34;5687.845;5680.88;5655.405;5615.434;5566.299
Romania;12079.271;12225.983;12387.014;12552.71;12705.778;12850.614;13007.956;13174.481;13336.241;13485.058;13589.16;13645.833;13707.288;13779.548;13866.407;13997.588;14264.021;14493.53;14577.795;14663.611;14738.318;14851.476;15149.594;15350.225;15324.36;15319.273;15337.142;15339.175;15311.03;15267.026;15211.928;15150.669;15233.582;15334.385;15278.998;15210.554;15149.727;15074.537;14967.133;14817.066;14570.95;14246.062;14053.185;13997.785;13977.348;13963.14;13936.385;13915.767;13856.621;13769.334;13672.73;13554.801;13417.944;13261.175;13104.104;12995.934;-;-;-;-;-;-;-;-
Slovenia;1361.901;1360.54;1356.471;1355.793;1355.101;1354.545;1360.908;1372.286;1383.437;1394.552;1404.254;1412.464;1418.37;1420.914;1417.857;1408.601;1406.295;1408.465;1405.846;1404.598;1403.014;1400.009;1397.019;1393.632;1386.549;1382.774;1383.809;1381.969;1380.751;1378.554;1376.335;1376.402;1374.509;1369.531;1364.949;1362.156;1357.007;1334.637;1311.708;1301.536;1287.641;1270.096;1255.124;1240.618;1226.655;1213.168;1200.468;1188.865;1178.557;1169.754;1162.323;1155.686;1149.025;1141.759;1133.681;1124.974;1115.9;1106.892;1098.274;1090.062;1082.156;1074.645;1067.616;1061.109
Slovakia;3596.863;3620.765;3644.827;3674.22;3703.519;3733.312;3764.51;3795.364;3822.281;3843.588;3861.463;3875.563;3881.765;3883.6;3884.143;3877.31;3864.217;3849.754;3833.785;3815.639;3794.581;3771.292;3744.343;3721.742;3697.653;3664.92;3632.989;3601.203;3568.4;3531.692;3493.495;3459.136;3435.867;3413.795;3384.348;3359.195;3339.999;3325.672;3311.051;3294.053;3268.282;3232.187;3194.108;3158.908;3131.047;3106.361;3082.069;3056.253;3028.538;3002.727;2974.9;2940.703;2902.945;2879.533;2856.13;2817.359;2778.067;2737.798;2699.31;2666.014;2634.492;2602.516;2574.967;2505.648
Finland;3420;3420;3416.568;3419.988;3426.915;3437.118;3451.266;3463.663;3475.969;3491.73;3508.395;3524.867;3539.602;3549.611;3547.873;3536.874;3518.86;3507.284;3499.311;3488.776;3483.581;3478.333;3471.764;3464.359;3455.407;3441.596;3427.055;3416.619;3409.716;3403.924;3396.253;3385.052;3369.982;3355.846;3346.909;3344.914;3345.524;3343.027;3338.686;3325.775;3304.863;3281.969;3257.488;3236.446;3220.829;3207.264;3195.041;3185.441;3174.194;3156.513;3132.74;3103.864;3070.279;3050.8;3051.054;3042.081;3014.406;2984.132;2958.147;2930.542;2893.726;2847.788;2800.978;2759.325
Sweden;6498.518;6479.081;6472.608;6440.406;6401.073;6347.082;6288.36;6221.975;6169.542;6139.497;6121.153;6114.834;6113.641;6106.914;6084.664;6050.823;6007.507;5951.916;5897.537;5854.451;5815.247;5775.928;5738.948;5705.139;5678.687;5659.501;5645.289;5634.29;5621.202;5593.538;5562.488;5543.375;5525.74;5501.901;5466.961;5433.371;5410.542;5396.36;5394.456;5391.77;5381.373;5367.715;5349.926;5328.427;5304.598;5285.973;5273.189;5263.773;5259.246;5259.167;5266.858;5280.539;5286.712;5266.951;5229.771;5204.018;5189.263;5167.954;5133.813;5093.285;5054.149;5015.32;4970.77;4926.452
