year,ccode,familychildren,health,housing,oldage,sicknessdisability,social,survivors,unemployment,nominalGDP,potentialoutput
2015,HUN,666786,1799222,92508,2466481,1023668,5095228,376472,129074,34975.31,34765.95
2016,HUN,718593,1707419,57732,2557042,987230,5141301,372828,106246,36214.07,35444.04
2017,HUN,790127,1839412,56447,2670115,1000704,5379320,373913,115914,39281.36,36463.34
2018,HUN,893558,2016463,34233,2856929,1013067,5679426,378395,108461,43392.44,37828.96
2019,HUN,977382,2160394,38993,3023241,1036311,6031681,383505,120716,47530.61,39428.62
2020,HUN,1130655.3,3083835,46088,3141315.1,1121032.5,6525823.8,391954,179229,48276.36,40731.46
1995,MLT,NA,116.1,NA,NA,NA,375.9,NA,NA,3.05966,4.95138
1996,MLT,NA,131.2,NA,NA,NA,433.3,NA,NA,3.20969,5.11997
1997,MLT,NA,148.9,NA,NA,NA,456,NA,NA,3.41066,5.28512
1998,MLT,NA,159.9,NA,NA,NA,480.3,NA,NA,3.62917,5.47112
1999,MLT,NA,167.2,NA,NA,NA,503.9,NA,NA,3.82956,5.63624
2000,MLT,NA,196.2,NA,NA,NA,512.6,NA,NA,4.15335,5.85302
2001,MLT,52.2,206.1,4.8,299.3,68.9,555,77.4,16.7,4.28584,6.04464
2002,MLT,57,245,9.7,306,73.7,593,78.5,36,4.5156,6.15922
2003,MLT,55.8,263.7,12.7,318.8,84,623.2,83.2,30.7,4.78752,6.31792
2004,MLT,57,274.3,13.3,332.9,88.2,640,85.3,29,4.89555,6.47074
2005,MLT,55.2,309,7.5,360.2,94.8,677.2,92,29.9,5.15925,6.65086
2006,MLT,55.9,325.6,8.7,378.6,96.6,714.5,94.8,30.1,5.403,6.82859
2007,MLT,57.5,315.6,12.9,419.9,106.6,770.4,98.3,26.3,5.79028,7.04117
2008,MLT,72.2,322.7,15.7,441.4,104,815.7,102.8,27.7,6.20602,7.25677
2009,MLT,74.1,315,9.2,489.5,102,870.7,107.7,31.3,6.25964,7.45953
2010,MLT,76.4,346.7,9.9,520.6,101.8,906.1,113.7,31.9,6.8158,7.7116
2011,MLT,79.3,370.4,12,555.7,101.5,944.2,117,32.6,6.9246,7.92972
2012,MLT,72.8,395,5.5,595.8,104.8,1004.8,129,36.9,7.36446,8.21086
2013,MLT,77.1,434.7,7,628.5,110.2,1054.2,129.6,43.8,7.94435,8.55492
2014,MLT,98.7,484.1,10.5,651.4,110.5,1110.4,131.9,40.9,8.7511,8.98748
2015,MLT,105.3,538.8,20.9,678.7,108,1152.8,134.1,42.3,9.99671,9.64332
2016,MLT,96.6,558.2,16.3,738.3,107.2,1200.5,140.8,36.1,10.54113,10.27648
2017,MLT,103.6,609.7,16.2,796.8,107.7,1279.5,150.1,30.9,11.95468,10.92758
2018,MLT,111.3,661,18.3,841.2,114.5,1351.8,155.9,31.5,12.95712,11.61574
2019,MLT,122.3,732.1,19.6,910.8,123,1452.5,158.4,27.1,14.04223,12.29689
2020,MLT,135.3,939.9,22.3,942.4,134.1,1569.4,165.7,30.3,13.05987,12.69397
1995,POL,,6811,,,,65599,,,345.06,830.675
1996,POL,,11748,,,,80127,,,431.897,863.807
1997,POL,,16127,,,,95558,,,522.582,904.864
1998,POL,,20089,,,,105711,,,607.103,953.975
1999,POL,,25544,,,,122677,,,674.53,996.688
2000,POL,,28878,,,,132306,,,748.483,1042.995
2001,POL,10573,33274,1168,88376,21807,145028,13313,6931,781.548,1087.549
2002,POL,11179,35930,1170,90433,23624,150312,13823,7183,812.214,1129.339
2003,POL,11565,36668,1248,100336,22104,159957,14426,7380,847.152,1173.27
2004,POL,9229,39379,988,102380,23821,164047,15350,9414,933.091,1216.406
2005,POL,11826,43617,1220,100936,26061,169251,16178,9815,990.53,1255.6
2006,POL,13831,49447,1031,104325,27711,179866,19420,9688,1069.431,1305.841
2007,POL,15073,53255,1048,105434,28320,185222,20004,11271,1187.508,1364.199
2008,POL,15817,63789,846,119427,27804,199373,21725,9024,1285.571,1426.801
2009,POL,17319,68649,814,129318,30851,221059,23533,14327,1372.025,1481.074
2010,POL,18416,71900,874,138831,38950,235872,23452,9449,1446.844,1537.009
2011,POL,18195,73163,890,143944,39572,242983,25063,8623,1565.251,1604.224
2012,POL,18932,75101,1133,147703,41440,254203,28896,8861,1623.442,1659.249
2013,POL,21203,76807,1087,154248,41666,265525,30954,8862,1646.724,1705.988
2014,POL,24160.8,79777.5,989,158929.3,42685.7,274041.6,31205,8577,1711.244,1760.083
2015,POL,25550.5,84080.9,916.6,163743.3,45397.8,282885.6,32240.4,8581.7,1801.112,1816.665
2016,POL,46142.8,86197.9,843.3,169891.2,45906.7,309662.6,32654.5,7986.4,1863.487,1868.946
2017,POL,53213,93179.4,779.5,178639.9,47186.7,326874.8,33120.4,7416.9,1989.835,1930.127
2018,POL,54668,101941,693,194944.8,47534.4,343380.9,33915.2,4738.9,2121.555,2002.176
2019,POL,64897.6,111890.3,620.5,217931.3,46521.1,382504.7,37480.6,6011,2293.199,2082.113
2020,POL,77376.9,125420.5,605.1,235966.4,54215.8,422532.1,37842.5,6693.7,2338.996,2156.967
1995,ROU,,181.3,NA,,,765.3,,,7.611,409.4246
1996,ROU,,261.9,NA,,,1102.6,,,11.388,411.5614
1997,ROU,,496.5,NA,,,2637.8,,,25.5,411.4073
1998,ROU,,882.6,NA,,,4248.7,,,37.008,412.2941
1999,ROU,,2083.1,NA,,,6274.3,,,55.126,415.6296
2000,ROU,,3386.1,NA,,,8411.6,,,80.873,424.4547
2001,ROU,885.8,4824.5,5,9781.5,826.7,12604.6,83.4,359,117.391,434.9066
2002,ROU,974.9,6220.4,15.6,12184.2,1013.4,15407.5,106.2,353.4,152.272,446.8331
2003,ROU,1346.6,6765.1,9.1,14230.7,1454.3,18572.3,123.5,414.6,191.918,464.5436
2004,ROU,1750.1,7915.5,10,18637.5,1762.8,24236,161,577.3,244.688,490.0683
2005,ROU,2582.3,9405.1,14.6,21527.5,2468.7,29008,175.3,558.8,286.862,517.5095
2006,ROU,3400.7,11289.7,20.4,24475.7,3108.3,34172.8,208,714.2,342.763,550.3748
2007,ROU,4510.1,15513.7,29,30067.5,4232.4,42677.3,233.9,723.4,425.691,590.4634
2008,ROU,5875.5,19700,37.2,42555.1,5586,59249,336,1040.4,539.835,630.0691
2009,ROU,6465.2,21416.3,29.7,51353.3,5871.5,69500.4,411.5,1247.4,530.894,644.1601
2010,ROU,6590.7,21923.3,29.4,54503.9,6229.4,73444.9,437.4,1103.6,528.515,649.3484
2011,ROU,5523.3,23232.9,26,56063.7,5419.1,72444.9,476,1212.5,558.89,655.4748
2012,ROU,5617.5,22839.3,26.8,57145.5,5344.5,73415.8,479.4,1219.6,591.799,666.4795
2013,ROU,5228.6,25572.7,28.1,56943.1,5393.2,73198.9,491.1,1271.8,634.968,681.4283
2014,ROU,6855.4,26737.5,31.3,57867.5,5818.1,76171.4,490.5,1196.7,669.704,700.4371
2015,ROU,8174.4,29936.9,66.1,60599.4,7018.6,81577.3,559.7,938.5,711.93,725.9177
2016,ROU,10218.2,30885.5,56.8,63948.4,8231.1,87976.1,590.6,925.7,763.653,755.0834
2017,ROU,9954.9,37093.6,25.9,75369.6,8506.4,100004.9,682.4,657,857.896,789.2705
2018,ROU,11258.6,44295.6,19,82190.8,10315.1,110844.9,943,585.6,951.729,820.0204
2019,ROU,14525.8,52974.4,33.3,92545.4,11110.8,125409.2,1134.5,534.6,1058.973,853.3882
2020,ROU,16676.2,58396.2,16.1,105257.1,12760.3,145618.6,1385.9,678.5,1058.926,880.0152
1995,SVN,170.7,703.1,0,1144.8,286.4,1837.6,52.8,108.4,10.56081,NA
1996,SVN,190.4,798.2,0,1301.6,326,2097.7,51.8,123.9,12.14729,NA
1997,SVN,242.4,908.7,0,1479,373.4,2425.8,58.5,148.1,13.83653,26.03739
1998,SVN,267.3,1027.3,0,1638.9,417.3,2691.8,64.8,164.5,15.35177,26.85563
1999,SVN,300,1130.7,0,1846.2,461.8,3021.9,72.8,181.3,17.22658,27.90396
2000,SVN,372.2,1249.2,0,2063.6,515.6,3363.4,80.1,167.6,18.85312,28.91113
2001,SVN,384.5,1415.5,0,2309.5,588.8,3738,84.4,181,21.1477,29.88361
2002,SVN,459.7,1582.3,0,2606.4,646.2,4170.6,90.4,178.4,23.54861,30.80838
2003,SVN,511.6,1701.7,0,2799.3,705.5,4514.4,92.4,182.5,25.61328,31.78367
2004,SVN,547.4,1790.3,3.5,2980.8,778.6,4831.5,98.6,185.3,27.62819,32.8218
2005,SVN,569.8,1872.9,3.4,3118.5,821.5,5149.9,125.4,192.9,29.11356,33.84995
2006,SVN,589.5,1989.8,3.9,2955.6,869.1,5397,532.5,135.8,31.47034,35.03381
2007,SVN,617.1,2077.5,4.4,3166.5,901.4,5690,547.5,121.3,35.07346,36.32355
2008,SVN,703.4,2340.6,4.6,3474.4,994.7,6251.2,622,118.6,37.9257,37.72154
2009,SVN,818.4,2513.7,4.2,3664,988.8,6667.9,624.1,224.6,36.25493,38.59933
2010,SVN,867.2,2494.3,5.7,3812.1,982.5,6988.8,632.6,261.6,36.36391,39.08979
2011,SVN,902.6,2589.9,5.5,3956.9,962,7258.3,636.8,364.2,37.05857,39.41413
2012,SVN,823.3,2511.7,6.4,3973,927.6,7065.3,605.1,321.1,36.25327,39.64685
2013,SVN,776.4,2472.8,7.8,4090.7,892.5,7115.5,599.2,322.3,36.45433,39.92886
2014,SVN,791.1,2440.5,8.9,4148.5,856.7,7055.7,583.6,268.3,37.63429,40.32163
2015,SVN,766.9,2591.8,9.2,4192.6,871.9,7103.4,588.7,235.1,38.85264,40.72738
2016,SVN,774.7,2709.5,9.1,4242.8,909.1,7132.3,582.4,222.7,40.44322,41.15792
2017,SVN,797.1,2821.6,10.2,4317,952.6,7326.7,591,213.3,43.01134,41.76167
2018,SVN,822.1,3009,10.9,4554.3,952.5,7605.7,582.2,201.4,45.86425,42.6463
2019,SVN,890.5,3226.9,12.3,4763.6,971.8,7965.9,592.8,202.9,48.3967,43.79148
2020,SVN,936,3716.2,13.4,5163.2,1126.7,8774.2,645.8,286.6,46.91805,44.84825
1995,SVK,,801.1,NA,,,2976.6,NA,NA,19.7677,NA
1996,SVK,,1429.6,NA,,,3324.2,NA,NA,22.0329,37.95278
1997,SVK,,1518.6,NA,,,3562.9,NA,NA,24.4561,39.62373
1998,SVK,,1584.6,NA,,,3857,NA,NA,26.6883,41.53651
1999,SVK,,1563.3,NA,,,4285.8,NA,NA,28.5836,43.01779
2000,SVK,,1762.8,NA,,,4503.5,NA,NA,31.6611,44.30344
2001,SVK,339,1961.8,0.2,2636,673.1,4916.5,371.6,44.5,34.3655,46.09117
2002,SVK,401.3,2161.5,0.2,2813.3,764.5,5454.4,388.8,48.5,37.3295,48.08045
2003,SVK,496.3,2293.5,0.4,2514.4,1280,5662.2,286.9,67.8,41.4795,50.19823
2004,SVK,531.2,2336.2,0.5,2778.5,1566.8,6409.7,328.4,77.4,46.1752,52.34416
2005,SVK,664.4,3218.6,0.5,3397.9,1320.4,7211.6,392.6,92.5,50.4857,55.47967
2006,SVK,629,3739.5,0.6,3370,1428.4,7327.6,425.5,100.2,56.3614,59.03059
2007,SVK,762.4,3908.3,0.6,3865.5,1177.2,8186.8,500.7,60.5,63.1634,62.84192
2008,SVK,791.7,4681.3,0.5,4094.4,1223,8529.3,533.4,67.1,68.5905,66.57965
2009,SVK,888.9,4745.4,0.6,4539.4,1417.8,9660.7,580.5,173.4,64.0955,68.40922
2010,SVK,1003.8,5032.4,0.8,5185.2,1826.4,10308.8,597.7,151.4,68.4922,70.59088
2011,SVK,969.7,4989.8,1,5234.5,1985.8,10417.9,606.1,164.4,71.4771,73.42533
2012,SVK,997.2,5107,0.7,5380.3,2187.5,10916.6,626.9,176.9,73.3608,75.11161
2013,SVK,989.5,5198.4,0.6,5718.6,2297.5,11326.9,651.5,184,74.2173,76.51565
2014,SVK,974,5437.7,0.6,5993.8,2189,11428.2,662.8,155.9,76.0927,77.97911
2015,SVK,1025.2,5698.5,0.6,6074.3,2207.7,11723.6,670.5,162.2,79.8882,80.14478
2016,SVK,1015.5,6058,0.6,6422.2,2349.4,12092.8,660.9,177.8,81.0143,81.66136
2017,SVK,1028.1,4637.5,0.8,6590.4,2463.1,12312,685.9,174.3,84.4429,83.17268
2018,SVK,931.3,4951.5,1.3,6905.3,2794,12856.7,699.2,192.6,89.43,84.93722
2019,SVK,1020.5,5396.1,0.6,7205.3,2982,13473.3,721.2,218.5,94.048,86.8234
2020,SVK,1137.7,5757.5,5.1,7751,3596.2,14974.1,750.4,333.4,92.0793,87.74242
